symbol,name,trade_date,open,high,low,close,pct_chg,volume,amount,turn
sz.399317,国证A股指数,2026-05-19,7500.2588,7579.797,7430.72,7578.1944,0.761268,130699776816.0,2840007751843.4,1.860087
sz.399001,深证成份指数(价格),2026-05-19,15469.3597,15585.0358,15221.3497,15569.9072,0.255487,73121652942.0,1580035927630.19,2.207238
sz.399106,深证综合指数,2026-05-19,2854.7221,2878.2588,2822.6974,2877.166,0.5146,73121652942.0,1580035927630.19,3.016148
sz.399107,深证A股指数,2026-05-19,2987.5026,3012.1389,2953.9501,3010.9855,0.514345,73098024200.0,1579968904480.36,3.029146
sz.399100,深证新指数,2026-05-19,13404.3219,13514.7248,13248.1669,13508.8044,0.499502,69863927921.0,1560000736652.6,3.057736
sz.399311,国证1000指数,2026-05-19,5313.7844,5367.1094,5259.4839,5365.2031,0.646709,55837658791.0,1485477759420.06,1.155925
sh.000001,上证综合指数,2026-05-19,4122.9608,4170.2887,4107.9944,4169.5378,0.920004,61761106700.0,1306522478007.3,1.273059
sh.000002,上证A股指数,2026-05-19,4323.4524,4373.0681,4307.7049,4372.2799,0.919218,61715090500.0,1305969949843.0,1.276179
sh.000906,中证800指数,2026-05-19,5457.3854,5506.1849,5401.5883,5504.1392,0.534307,47614967300.0,1283708024448.5,1.074155
sh.000017,新上证综指,2026-05-19,3484.8391,3524.8167,3472.1694,3524.1807,0.918668,60371119000.0,1263484129165.0,1.276161
sh.000090,上证流通,2026-05-19,1527.9246,1547.3616,1518.3207,1547.0967,0.993599,60371119000.0,1263484129165.0,1.276161
sz.399233,制造业指数,2026-05-19,4123.8293,4154.683,4054.6896,4152.1204,0.305764,44249573237.0,1207889842901.53,3.304977
sh.000159,上证沪股通指数,2026-05-19,3854.7516,3904.6024,3829.971,3903.8992,1.008413,52767829100.0,1143791044103.0,1.171446
sz.399011,深证1000指数,2026-05-19,7448.052,7508.9072,7339.6616,7503.5177,0.391069,39836203977.0,1100887802768.24,2.583968
sh.000004,上证工业类指数,2026-05-19,3996.3218,4047.4335,3954.2496,4047.1734,0.959858,37705976000.0,1074365486302.4,1.87292
sz.399400,巨潮大中盘指数,2026-05-19,4419.5546,4459.9418,4374.654,4458.3675,0.584613,34604120449.0,1022179137676.87,0.89582
sh.000855,央视财经500指数,2026-05-19,1662.3417,1672.5336,1649.9869,1672.1206,0.385086,30570131800.0,1016970269255.0,0.857248
sz.399401,巨潮中小盘指数,2026-05-19,5505.2115,5581.8498,5429.9861,5579.0844,0.963202,37080669033.0,961236534652.38,2.026531
sz.399303,国证2000指数,2026-05-19,11488.0013,11646.2889,11383.0322,11645.2793,1.113833,44351503513.0,928999710264.57,3.437224
sz.399312,国证300指数,2026-05-19,5870.2886,5927.5966,5797.5694,5925.2422,0.589256,22282817220.0,831668800286.97,0.848771
sz.399659,深证成份等权重指数,2026-05-19,5257.8561,5316.1115,5205.2958,5313.1361,0.741882,25729936010.0,816462941516.75,2.207238
sz.399002,深证成份指数(收益),2026-05-19,20825.4633,20981.1909,20491.5823,20960.8243,0.266123,49642017702.0,811475160658.59,2.207238
sz.399625,中小创业企业500指数,2026-05-19,2858.5403,2885.4143,2811.4547,2882.5492,0.378482,22357368275.0,774274384146.67,3.016375
sz.399006,创业板指数(价格),2026-05-19,3894.001,3918.3068,3808.47,3908.4374,-0.164447,23456006498.0,768493743821.77,3.364796
sz.399102,创业板综合指数,2026-05-19,4646.0314,4686.6236,4574.7622,4681.1301,0.373921,22348130376.0,762720750275.06,4.329932
sh.000047,上证全指,2026-05-19,4045.8955,4096.5605,4022.7501,4095.6173,0.960217,29885262900.0,720501305887.0,0.867857
sh.000300,沪深300指数,2026-05-19,4818.7051,4854.5247,4773.534,4852.8832,0.400526,23228085200.0,712401049984.5,0.702854
sz.399300,沪深300指数,2026-05-19,4818.7051,4854.5247,4773.534,4852.8832,0.400526,23228085200.0,712401049984.5,0.702854
sh.000984,沪深300等权重指数,2026-05-19,4777.4381,4824.1521,4749.3574,4823.2574,0.76563,23228085231.0,712401049933.0,0.702854
sz.399388,国证1000信息技术行业指数,2026-05-19,8147.9768,8401.5014,7997.703,8398.334,2.250249,11680215724.0,633112921271.57,3.568763
