symbol,name,trade_date,open,high,low,close,pre_close,change,pct_chg,volume,amount,turn,isST
sh.517120,"华泰柏瑞中证沪港深创新药产业ETF",2026-06-01,0.641,0.655,0.625,0.628,0.639,-0.011,-1.7214,31871100.0,20378567.0,7.194925,1
sh.517130,sh.517130,2026-06-01,0.997,1.013,0.989,0.994,0.993,0.001,0.1007,103487500.0,103842832.0,,1
sh.517160,"南方中证长江保护主题ETF",2026-06-01,1.007,1.017,1.0,1.0,1.012,-0.012,-1.1858,259700.0,262221.0,0.01431,1
sh.517170,"华夏中证沪港深500ETF",2026-06-01,1.031,1.036,1.028,1.028,1.029,-0.00099999999999989,-0.0972,307500.0,317190.0,1.906173,1
sh.517180,"南方富时中国国企开放共赢ETF",2026-06-01,1.504,1.511,1.497,1.511,1.502,0.0089999999999999,0.5992,2316900.0,3485009.0,2.560215,1
sh.517200,"嘉实中证沪港深互联网ETF",2026-06-01,0.604,0.626,0.604,0.622,0.605,0.017,2.8099,2828300.0,1750444.0,1.980852,1
sh.517300,"国寿安保中证沪港深300ETF",2026-06-01,0.961,0.972,0.96,0.961,0.968,-0.00700000000000001,-0.7231,1393600.0,1342639.0,0.089827,1
sh.517330,"易方达中证长江保护主题ETF",2026-06-01,1.027,1.028,0.989,1.012,1.02,-0.00800000000000001,-0.7843,60300.0,60379.0,0.003337,1
sh.517350,"广发中证沪港深科技龙头ETF",2026-06-01,0.981,0.995,0.967,0.97,0.982,-0.012,-1.222,1880600.0,1847599.0,2.869305,1
sh.517360,"华安中证沪港深科技100ETF",2026-06-01,0.948,0.97,0.948,0.958,0.948,0.01,1.0549,222500.0,213933.0,0.837001,1
sh.517380,"天弘恒生沪深港创新药精选50ETF",2026-06-01,0.705,0.716,0.686,0.689,0.701,-0.012,-1.7118,49832800.0,34894821.0,2.234328,1
sh.517390,"天弘中证沪港深云计算产业ETF",2026-06-01,1.973,2.038,1.973,1.992,1.99,0.002,0.1005,7442600.0,14962388.0,4.860867,1
sh.517400,"国泰中证沪深港黄金产业股票ETF",2026-06-01,1.491,1.513,1.485,1.497,1.493,0.004,0.2679,13221900.0,19838912.0,1.516635,1
sh.517520,"永赢中证沪深港黄金产业股票ETF",2026-06-01,1.889,1.917,1.881,1.899,1.89,0.00900000000000012,0.4762,111568505.0,212359822.0,1.925287,1
sh.517550,"招商中证沪港深消费龙头ETF",2026-06-01,0.657,0.665,0.657,0.665,0.657,0.00800000000000001,1.2177,7181300.0,4742740.0,8.031211,1
sh.517660,"天弘中证沪港深物联网主题ETF",2026-06-01,1.388,1.406,1.365,1.37,1.388,-0.0179999999999998,-1.2968,978300.0,1353633.0,2.189536,1
sh.517770,"浦银安盛中证沪港深游戏及文化传媒ETF",2026-06-01,0.978,1.008,0.972,1.007,0.975,0.0319999999999999,3.2821,10154200.0,10130610.0,6.046045,1
sh.517800,"方正富邦中证沪港深人工智能50ETF",2026-06-01,1.091,1.11,1.075,1.082,1.091,-0.0089999999999999,-0.8249,11367800.0,12439334.0,4.066614,1
sh.517850,"汇添富中证沪港深张江自主创新50ETF",2026-06-01,1.355,1.362,1.307,1.307,1.355,-0.048,-3.5424,1000100.0,1327672.0,2.619078,1
sh.517880,"华泰柏瑞中证沪港深品牌消费50ETF",2026-06-01,0.759,0.76,0.754,0.76,0.759,0.001,0.1318,4411500.0,3335571.0,8.593201,1
sh.517900,"招商中证银行AH价格优选ETF",2026-06-01,1.45,1.462,1.444,1.462,1.449,0.0129999999999999,0.8972,23195700.0,33673241.0,4.477991,1
sh.517950,"交银中证智选沪深港科技50ETF",2026-06-01,1.207,1.213,1.176,1.178,1.208,-0.03,-2.4834,11809800.0,14089125.0,16.604708,1
sh.517990,"招商中证沪港深500医药卫生ETF",2026-06-01,0.814,0.818,0.794,0.798,0.808,-0.01,-1.2376,1725000.0,1384549.0,3.671158,1
sh.518600,"广发上海金ETF",2026-06-01,9.801,9.81,9.738,9.738,9.791,-0.0530000000000008,-0.5413,11631784.0,113802410.0,1.506286,1
sh.518660,"工银瑞信黄金ETF",2026-06-01,9.419,9.435,9.365,9.368,9.417,-0.0489999999999995,-0.5203,19018400.0,178893779.0,1.999511,1
sh.518680,"富国上海金ETF",2026-06-01,9.834,9.851,9.778,9.778,9.832,-0.0540000000000003,-0.5492,15082049.0,148079794.0,1.854268,1
sh.518800,"国泰黄金ETF",2026-06-01,9.85,9.87,9.794,9.796,9.85,-0.0540000000000003,-0.5482,62988119.0,619765565.0,1.623958,1
sh.518850,"华夏黄金ETF",2026-06-01,9.492,9.5,9.426,9.432,9.483,-0.0510000000000002,-0.5378,28121880.0,266318489.0,1.550886,1
sh.518860,"建信上海金ETF",2026-06-01,9.411,9.456,9.358,9.365,9.41,-0.0449999999999999,-0.4782,3280782.0,30865023.0,0.647276,1
sh.518880,"华安黄金ETF",2026-06-01,9.398,9.414,9.343,9.344,9.397,-0.0530000000000008,-0.564,258640902.0,2427380926.0,2.31168,1
sh.518890,"中银上海金ETF",2026-06-01,9.446,9.446,9.359,9.366,9.413,-0.0470000000000006,-0.4993,3936200.0,37018581.0,0.937961,1
sh.520500,"华泰柏瑞恒生创新药ETF(QDII)",2026-06-01,1.4,1.411,1.323,1.331,1.37,-0.0390000000000001,-2.8467,926579567.0,1260338347.0,48.063967,1
sh.520510,"华夏中证港股通医疗主题ETF",2026-06-01,0.798,0.814,0.788,0.792,0.795,-0.003,-0.3774,108351400.0,86503714.0,47.789157,1
sh.520520,"华泰柏瑞恒生消费ETF(QDII)",2026-06-01,0.973,0.989,0.962,0.988,0.972,0.016,1.6461,6995500.0,6846384.0,13.172711,1
sh.520530,"港股通科技ETF东财",2026-06-01,0.85,0.866,0.85,0.857,0.848,0.00900000000000001,1.0613,47793600.0,41031282.0,18.540749,1
sh.520550,"招商恒生港股通高股息低波动ETF",2026-06-01,1.146,1.163,1.139,1.161,1.145,0.016,1.3974,44835500.0,51815229.0,4.229668,1
sh.520560,"华宝港股通恒生中国(香港上市)30ETF",2026-06-01,0.82,0.83,0.818,0.827,0.82,0.00700000000000001,0.8537,31382100.0,25909135.0,4.386534,1
sh.520570,"南方恒生科技ETF(QDII)",2026-06-01,0.785,0.801,0.784,0.795,0.785,0.01,1.2739,182352000.0,144767869.0,4.985188,1
sh.520580,"招商利安新兴亚洲精选ETF(QDII)",2026-06-01,0.958,0.965,0.955,0.962,0.96,0.002,0.2083,9803044.0,9426929.0,3.552035,1
sh.520590,"鹏华恒生科技ETF(QDII)",2026-06-01,0.836,0.858,0.836,0.851,0.841,0.01,1.1891,27338800.0,23223381.0,11.721568,1
sh.520600,"广发中证港股通汽车ETF",2026-06-01,1.177,1.207,1.177,1.192,1.182,0.01,0.846,195771000.0,234367276.0,45.595154,1
sh.520610,"银华标普港股通低波红利ETF",2026-06-01,0.958,0.973,0.958,0.972,0.963,0.00900000000000001,0.9346,6403100.0,6189834.0,2.148958,1
sh.520620,"嘉实恒生消费ETF",2026-06-01,0.831,0.844,0.822,0.843,0.829,0.014,1.6888,8197700.0,6844381.0,2.346162,1
sh.520630,"广发中证港股通互联网ETF",2026-06-01,0.697,0.724,0.697,0.724,0.698,0.026,3.7249,13433100.0,9622413.0,3.073162,1
sh.520650,"南方中证港股通互联网ETF",2026-06-01,0.635,0.659,0.635,0.658,0.635,0.023,3.622,161285800.0,105319435.0,7.357073,1
sh.520660,"南方中证国新港股通央企红利ETF",2026-06-01,1.049,1.067,1.044,1.064,1.047,0.0170000000000001,1.6237,125279700.0,132968071.0,5.21025,1
sh.520670,"嘉实恒生港股通科技主题ETF",2026-06-01,0.825,0.841,0.824,0.835,0.822,0.013,1.5815,23197500.0,19315323.0,9.300275,1
sh.520680,"南方中证港股通汽车产业主题ETF",2026-06-01,0.96,0.975,0.958,0.965,0.955,0.01,1.0471,10512700.0,10175164.0,13.948308,1
sh.520690,"博时恒生港股通创新药精选ETF",2026-06-01,0.727,0.729,0.688,0.696,0.707,-0.011,-1.5559,166943600.0,118403430.0,21.982056,1
sh.520700,"万家中证港股通创新药ETF",2026-06-01,1.396,1.416,1.344,1.355,1.376,-0.0209999999999999,-1.5262,188929900.0,260656271.0,34.346145,1
sh.520710,sh.520710,2026-06-01,1.011,1.046,1.008,1.016,1.014,0.002,0.1972,112669300.0,115702735.0,,1
sh.520720,"国泰中证港股通汽车产业主题ETF",2026-06-01,0.874,0.892,0.87,0.883,0.873,0.01,1.1455,78480805.0,69376159.0,51.994014,1
sh.520730,"万家恒生港股通汽车主题ETF",2026-06-01,0.9,0.925,0.9,0.916,0.904,0.012,1.3274,5559000.0,5085966.0,2.935145,1
sh.520760,"摩根恒生生物科技ETF",2026-06-01,0.859,0.872,0.831,0.839,0.849,-0.01,-1.1779,11640800.0,9894450.0,5.4789,1
sh.520770,"建信恒指港股通ETF",2026-06-01,0.924,0.932,0.924,0.932,0.925,0.00700000000000001,0.7568,23255400.0,21638308.0,7.541302,1
sh.520780,"华宝中证港股通汽车产业主题ETF",2026-06-01,0.961,0.98,0.953,0.967,0.96,0.00700000000000001,0.7292,40135900.0,39060540.0,110.082008,1
sh.520790,"兴业中证港股通互联网ETF",2026-06-01,0.873,0.902,0.873,0.901,0.873,0.028,3.2073,16936800.0,15146622.0,4.865848,1
sh.520810,"易方达中证港股通高股息投资ETF",2026-06-01,1.032,1.042,1.019,1.04,1.026,0.014,1.3645,4911300.0,5098710.0,1.790093,1
sh.520820,"汇添富恒指港股通ETF",2026-06-01,0.925,0.929,0.922,0.928,0.922,0.00600000000000001,0.6508,1837000.0,1700141.0,2.636262,1
sh.520830,"华泰柏瑞南方东英沙特阿拉伯ETF(QDII)",2026-06-01,0.907,0.908,0.906,0.908,0.906,0.002,0.2208,15916600.0,14439169.0,1.279861,1
sh.520840,"华安恒生港股通科技主题ETF",2026-06-01,0.812,0.828,0.812,0.822,0.808,0.0139999999999999,1.7327,114083200.0,93502945.0,8.311776,1
sh.520850,"易方达中证港股通医疗主题ETF",2026-06-01,0.753,0.77,0.746,0.751,0.753,-0.002,-0.2656,12920700.0,9819491.0,7.012607,1
sh.520860,"富国中证港股通科技ETF",2026-06-01,0.829,0.841,0.826,0.831,0.824,0.00700000000000001,0.8495,49634200.0,41311461.0,12.012294,1
sh.520870,"易方达伊塔乌巴西IBOVESPAETF(QDII)",2026-06-01,1.114,1.122,1.113,1.116,1.124,-0.00800000000000001,-0.7117,42483372.0,47453508.0,7.948585,1
sh.520880,"华宝恒生港股通创新药精选ETF",2026-06-01,0.445,0.449,0.424,0.428,0.435,-0.00700000000000001,-1.6092,1249332500.0,545339478.0,20.984425,1
sh.520890,"华泰柏瑞恒生港股通高股息低波动ETF",2026-06-01,1.38,1.406,1.378,1.404,1.387,0.0169999999999999,1.2257,13605500.0,18995588.0,16.195481,1
sh.520900,"广发中证国新港股通央企红利ETF",2026-06-01,1.057,1.075,1.055,1.074,1.058,0.016,1.5123,90055700.0,96205338.0,5.226149,1
sh.520910,"华夏中证港股通互联网ETF",2026-06-01,0.669,0.695,0.669,0.694,0.672,0.0219999999999999,3.2738,50161100.0,34561808.0,6.290227,1
sh.520920,"天弘恒生科技ETF",2026-06-01,0.729,0.742,0.727,0.737,0.728,0.00900000000000001,1.2363,322902500.0,237566176.0,1.552191,1
sh.520930,"国泰恒生生物科技ETF",2026-06-01,0.86,0.876,0.83,0.837,0.853,-0.016,-1.8757,35091900.0,30044282.0,26.842419,1
sh.520940,"华安恒指港股通ETF",2026-06-01,0.987,1.003,0.987,1.001,0.996,0.00499999999999989,0.502,15349000.0,15348727.0,56.229622,1
sh.520950,"摩根恒生港股通50ETF",2026-06-01,0.852,0.859,0.852,0.856,0.849,0.00700000000000001,0.8245,51173900.0,43721723.0,13.852461,1
sh.520960,"嘉实恒指港股通ETF",2026-06-01,0.91,0.917,0.91,0.915,0.907,0.00800000000000001,0.882,4065300.0,3710086.0,5.9258,1
sh.520970,"嘉实中证港股通创新药ETF",2026-06-01,0.782,0.792,0.751,0.758,0.769,-0.011,-1.4304,72776400.0,56154289.0,5.511869,1
sh.520980,"汇添富恒生港股通中国科技ETF",2026-06-01,0.936,0.958,0.934,0.946,0.932,0.0139999999999999,1.5021,741454900.0,701237036.0,16.739447,1
sh.520990,"景顺长城中证国新港股通央企红利ETF",2026-06-01,1.036,1.057,1.035,1.055,1.037,0.018,1.7358,99890700.0,104971911.0,2.324407,1
sh.526000,"华夏中证港股通信息技术综合ETF",2026-06-01,1.336,1.382,1.336,1.341,1.336,0.00499999999999989,0.3743,157640000.0,213506804.0,231.340436,1
sh.526010,"汇添富中证港股通医疗主题ETF",2026-06-01,0.91,0.91,0.86,0.866,0.872,-0.00600000000000001,-0.6881,12161000.0,10653540.0,12.60756,1
sh.526050,"招商中证港股通信息技术综合ETF",2026-06-01,1.211,1.243,1.202,1.207,1.208,-0.00099999999999989,-0.0828,105035400.0,128147492.0,160.041749,1
sh.526070,sh.526070,2026-06-01,0.981,0.989,0.961,0.989,0.981,0.00800000000000001,0.8155,9082900.0,8947735.0,4.625236,1
sh.530000,"天弘上证50ETF",2026-06-01,1.352,1.367,1.35,1.354,1.365,-0.0109999999999999,-0.8059,674900.0,914032.0,0.069863,1
sh.530050,"上证50ETF东财",2026-06-01,1.166,1.168,1.152,1.156,1.166,-0.01,-0.8576,2189300.0,2535082.0,1.782629,1
sh.530060,"易方达上证综合ETF",2026-06-01,1.009,1.012,1.003,1.01,1.011,-0.00099999999999989,-0.0989,31826900.0,32079680.0,18.591239,1
sh.530080,"天弘上证180ETF",2026-06-01,1.235,1.245,1.229,1.231,1.239,-0.00800000000000001,-0.6457,3419900.0,4221440.0,10.389464,1
sh.530100,"易方达上证580ETF",2026-06-01,1.226,1.239,1.216,1.216,1.232,-0.016,-1.2987,2409400.0,2951855.0,1.712486,1
sh.530180,"易方达上证180ETF",2026-06-01,1.21,1.219,1.205,1.208,1.216,-0.00800000000000001,-0.6579,5599000.0,6784342.0,8.23964,1
sh.530280,"平安上证180ETF",2026-06-01,1.229,1.234,1.222,1.222,1.227,-0.00500000000000012,-0.4075,168200.0,205571.0,0.488471,1
sh.530300,"华泰柏瑞上证180ETF",2026-06-01,1.241,1.248,1.234,1.234,1.243,-0.00900000000000012,-0.7241,4415900.0,5485632.0,11.730999,1
