symbol,theme_name,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason,hold_days
sh.600879,商业航天,2024-11-14,2024-11-15,10.00348292,9.68528068,-3.1809,ma10,1
sh.600118,商业航天,2024-11-14,2024-11-15,28.989589,28.3898044,-2.069,ma10,1
sh.600879,商业航天,2024-11-15,2024-11-18,9.68528068,9.63556158,-0.5133,ma10,3
sh.600118,商业航天,2024-11-15,2024-11-18,28.3898044,27.3901634,-3.5211,ma10,3
sh.600879,商业航天,2024-11-18,2024-11-19,9.63556158,9.75488742,1.2384,ma10,1
sh.600118,商业航天,2024-11-18,2024-11-19,27.3901634,28.05992287,2.4453,ma10,1
sh.600879,商业航天,2024-11-19,2024-11-20,9.75488742,9.8443818,0.9174,ma10,1
sh.600118,商业航天,2024-11-19,2024-11-20,28.05992287,28.24985466,0.6769,ma10,1
sh.600879,商业航天,2024-11-20,2024-11-21,9.8443818,9.6952245,-1.5152,drop_dragon,1
sh.600118,商业航天,2024-11-20,2024-11-21,28.24985466,28.34981876,0.3539,drop_dragon,1
sh.600151,商业航天,2024-11-21,2024-11-22,9.12,8.85,-2.9605,ma10,1
sh.600151,商业航天,2024-11-22,2024-11-25,8.85,8.88,0.339,ma10,3
sh.600343,商业航天,2024-11-21,2024-11-26,12.15,11.23,-7.572,ma10,5
sh.600151,商业航天,2024-11-25,2024-11-27,8.88,8.61,-3.0405,ma10,2
sh.600343,商业航天,2024-11-26,2024-11-27,11.23,11.06,-1.5138,ma10,1
sh.600343,商业航天,2024-11-27,2024-11-28,11.06,11.1,0.3617,theme_off,1
sh.600151,商业航天,2024-11-27,2024-11-28,8.61,8.59,-0.2323,theme_off,1
sh.603986,AI服务器-高端PCB,2024-12-26,2024-12-31,114.67685,106.499892,-7.1304,ma10,5
sz.002384,AI服务器-高端PCB,2024-12-26,2024-12-31,31.58176814,29.1278468,-7.7701,ma10,5
sh.603986,AI服务器-高端PCB,2024-12-31,2025-01-02,106.499892,102.7005981,-3.5674,ma10,2
sz.002384,AI服务器-高端PCB,2024-12-31,2025-01-02,29.1278468,29.71638891,2.0205,ma10,2
sh.603986,AI服务器-高端PCB,2025-01-02,2025-01-03,102.7005981,102.810289,0.1068,theme_off,1
sz.002384,AI服务器-高端PCB,2025-01-02,2025-01-03,29.71638891,28.22009541,-5.0352,theme_off,1
sh.688256,人形机器人-智能制造,2025-08-25,2025-09-01,1384.93,1448.39,4.5822,drop_dragon,7
sz.002050,人形机器人-智能制造,2025-08-25,2025-09-01,31.01,31.89,2.8378,drop_dragon,7
sz.300502,AI算力-CPO光模块,2025-09-01,2025-09-04,388.5,312.1,-19.6654,ma10,3
sz.300394,AI算力-CPO光模块,2025-09-01,2025-09-08,221.5423952,172.568921,-22.1057,drop_dragon,7
sz.300502,AI算力-CPO光模块,2025-09-04,2025-09-08,312.1,314.5,0.769,ma10,4
sz.300502,AI算力-CPO光模块,2025-09-08,2025-09-09,314.5,315.32,0.2607,ma10,1
sz.300308,AI算力-CPO光模块,2025-09-08,2025-09-09,369.61039026,358.92136846,-2.892,ma10,1
sz.300502,AI算力-CPO光模块,2025-09-09,2025-09-10,315.32,334.95,6.2254,ma10,1
sz.300308,AI算力-CPO光模块,2025-09-09,2025-09-15,358.92136846,407.60137148,13.5629,drop_dragon,6
sz.300502,AI算力-CPO光模块,2025-09-10,2025-09-15,334.95,350.3,4.5828,drop_dragon,5
sz.002074,锂电池-储能,2025-09-15,2025-09-17,45.96,45.22,-1.6101,ma10,2
sz.300014,锂电池-储能,2025-09-15,2025-09-18,73.67953824,70.48,-4.3425,ma10,3
sz.002074,锂电池-储能,2025-09-17,2025-09-18,45.22,44.5,-1.5922,ma10,1
sz.002074,锂电池-储能,2025-09-18,2025-09-19,44.5,43.9,-1.3483,ma10,1
sz.300014,锂电池-储能,2025-09-18,2025-09-19,70.48,71.41,1.3195,ma10,1
sz.002074,锂电池-储能,2025-09-19,2025-09-22,43.9,44.57,1.5262,drop_dragon,3
sz.300014,锂电池-储能,2025-09-19,2025-09-22,71.41,71.81,0.5601,ma10,3
sz.002050,锂电池-储能,2025-09-22,2025-10-13,42.97,43.16,0.4422,ma10,21
sz.300014,锂电池-储能,2025-09-22,2025-10-14,71.81,79.05,10.0822,ma10,22
sz.002050,锂电池-储能,2025-10-13,2025-10-14,43.16,40.16,-6.9509,drop_dragon,1
sz.300014,锂电池-储能,2025-10-14,2025-10-15,79.05,81.23,2.7577,ma10,1
sz.002460,锂电池-储能,2025-10-14,2025-10-17,68.52,60.96,-11.0333,ma10,3
sz.300014,锂电池-储能,2025-10-15,2025-10-17,81.23,76.29,-6.0815,ma10,2
sz.300014,锂电池-储能,2025-10-17,2025-10-20,76.29,76.49,0.2622,ma10,3
sz.002460,锂电池-储能,2025-10-17,2025-10-20,60.96,60.69,-0.4429,ma10,3
sz.300014,锂电池-储能,2025-10-20,2025-10-21,76.49,78.65,2.8239,theme_off,1
sz.002460,锂电池-储能,2025-10-20,2025-10-21,60.69,61.59,1.4829,theme_off,1
