symbol,name,theme_name,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason,hold_days
sz.000070,特发信息,光纤光缆-算力网络,2026-02-09,2026-02-25,14.65,18.14,23.8225,theme_off,6
sh.600498,烽火通信,光纤光缆-算力网络,2026-02-09,2026-02-25,42.84,42.6,-0.5602,theme_off,6
sh.601869,长飞光纤,光纤光缆-算力网络,2026-03-02,2026-03-04,242.42,228.27,-5.837,stop_loss,2
sh.600498,烽火通信,光纤光缆-算力网络,2026-03-04,2026-03-06,58.44,52.76,-9.7194,stop_loss,2
sh.600487,亨通光电,光纤光缆-算力网络,2026-03-02,2026-03-09,49.6,45.72,-7.8226,stop_loss,5
sh.600089,特变电工,智能电网-特高压,2026-03-06,2026-03-12,32.23,30.84,-4.3128,theme_off,4
sz.002028,思源电气,智能电网-特高压,2026-03-09,2026-03-12,229.06,213.11,-6.9632,stop_loss,3
sz.002460,赣锋锂业,锂电池-储能,2026-03-13,2026-03-17,70.03,68.49,-2.1991,ma20,2
sz.300014,亿纬锂能,锂电池-储能,2026-03-13,2026-03-18,67.99091724,67.28330142,-1.0408,theme_off,3
sz.000988,华工科技,AI算力-CPO光模块,2026-03-24,2026-03-26,112.0,105.35,-5.9375,stop_loss,2
sz.300308,中际旭创,AI算力-CPO光模块,2026-03-24,2026-03-30,602.47702942,588.38370744,-2.3392,theme_off,4
sh.601985,中国核电,算电协同-电力运营,2026-03-26,2026-04-01,9.25,8.95,-3.2432,ma20,4
sh.600105,永鼎股份,光纤光缆-算力网络,2026-03-31,2026-04-24,27.74,49.01,76.6763,theme_off,17
sh.600487,亨通光电,光纤光缆-算力网络,2026-04-01,2026-04-24,51.96,69.54,33.8337,theme_off,16
sh.688041,海光信息,存储芯片,2026-04-27,2026-04-29,296.27,278.77,-5.9068,stop_loss,2
sz.001309,德明利,存储芯片,2026-04-27,2026-05-15,488.15,712.06,45.8691,end_of_backtest,11
sz.301308,江波龙,存储芯片,2026-04-30,2026-05-15,401.12,590.52,47.2178,end_of_backtest,8
