signal_date,buy_date,eval_date,symbol,name,entry_price,eval_open,exit_at,pnl_pct,win
2025-07-04,2025-07-07,2025-07-08,sh.600000,浦发银行,14.23,14.15,open,-0.55,False
2025-08-15,2025-08-18,2025-08-19,sh.600006,东风股份,7.69,7.66,open,-0.39,False
2026-03-30,2026-03-31,2026-04-01,sh.600007,中国国贸,20.6,20.91,open,1.5,True
2026-03-11,2026-03-12,2026-03-13,sh.600008,首创环保,3.24,3.27,open,0.93,True
2025-07-08,2025-07-09,2025-07-10,sh.600010,包钢股份,1.85,1.86,open,0.54,True
2026-02-25,2026-02-26,2026-02-27,sh.600010,包钢股份,3.0,2.96,open,-1.33,False
2025-05-06,2025-05-07,2025-05-08,sh.600011,华能国际,7.16,7.03,open,-1.88,False
2025-05-19,2025-05-20,2025-05-21,sh.600020,中原高速,4.58,4.59,open,0.21,True
2025-08-08,2025-08-11,2025-08-12,sh.600021,上海电力,10.73,10.75,open,0.19,True
2025-08-15,2025-08-18,2025-08-19,sh.600021,上海电力,11.95,13.43,open,12.38,True
2025-08-27,2025-08-28,2025-08-29,sh.600021,上海电力,15.02,15.08,open,0.4,True
2025-10-21,2025-10-22,2025-10-23,sh.600021,上海电力,24.09,23.7,open,-1.62,False
2025-04-03,2025-04-07,2025-04-08,sh.600025,华能水电,9.01,8.95,open,-0.65,False
2025-10-16,2025-10-17,2025-10-20,sh.600025,华能水电,10.0,9.92,open,-0.8,False
2026-02-04,2026-02-05,2026-02-06,sh.600028,中国石化,6.51,6.3,open,-3.23,False
2026-03-02,2026-03-03,2026-03-04,sh.600028,中国石化,7.15,8.1,open,13.29,True
2025-05-26,2025-05-27,2025-05-28,sh.600029,南方航空,6.2,6.19,open,-0.16,False
2025-10-20,2025-10-21,2025-10-22,sh.600029,南方航空,6.6,6.56,open,-0.61,False
2025-12-31,2026-01-05,2026-01-06,sh.600029,南方航空,7.95,8.01,open,0.75,True
2025-08-22,2025-08-25,2025-08-26,sh.600030,中信证券,32.5,31.94,open,-1.72,False
2025-03-14,2025-03-17,2025-03-18,sh.600031,三一重工,19.8,19.8,open,0.0,False
2025-04-23,2025-04-24,2025-04-25,sh.600031,三一重工,18.78,18.57,open,-1.13,False
2025-09-24,2025-09-25,2025-09-26,sh.600031,三一重工,21.95,21.7,open,-1.12,False
2025-04-03,2025-04-07,2025-04-08,sh.600032,浙江新能,8.09,8.5,open,5.16,True
2025-04-14,2025-04-15,2025-04-16,sh.600032,浙江新能,8.74,8.55,open,-2.16,False
2025-11-10,2025-11-11,2025-11-12,sh.600032,浙江新能,8.32,8.26,open,-0.72,False
2026-03-17,2026-03-18,2026-03-19,sh.600032,浙江新能,9.18,8.88,open,-3.27,False
2026-05-18,2026-05-19,2026-05-20,sh.600032,浙江新能,11.03,11.42,open,3.54,True
2025-11-28,2025-12-01,2025-12-02,sh.600033,福建高速,3.79,3.81,open,0.52,True
2025-09-01,2025-09-02,2025-09-03,sh.600037,歌华有线,9.6,9.06,open,-5.62,False
2026-01-29,2026-01-30,2026-02-02,sh.600037,歌华有线,8.17,8.18,open,0.12,True
2026-02-09,2026-02-10,2026-02-11,sh.600037,歌华有线,8.27,8.5,open,2.78,True
2025-04-16,2025-04-17,2025-04-18,sh.600039,四川路桥,8.13,8.17,open,0.59,True
2025-10-30,2025-10-31,2025-11-03,sh.600039,四川路桥,9.24,9.48,open,2.6,True
2025-02-21,2025-02-24,2025-02-25,sh.600050,中国联通,6.67,6.33,open,-5.09,False
2025-07-21,2025-07-22,2025-07-23,sh.600051,宁波联合,7.81,7.77,open,-0.51,False
2025-06-30,2025-07-01,2025-07-02,sh.600052,东望时代,4.58,4.51,open,-1.52,False
2025-08-13,2025-08-14,2025-08-15,sh.600052,东望时代,4.73,4.49,open,-5.05,False
2025-09-01,2025-09-02,2025-09-03,sh.600052,东望时代,4.7,4.66,open,-0.85,False
2025-09-10,2025-09-11,2025-09-12,sh.600052,东望时代,5.15,5.2,open,0.97,True
2025-05-14,2025-05-15,2025-05-16,sh.600053,九鼎投资,14.84,14.6,open,-1.62,False
2025-04-16,2025-04-17,2025-04-18,sh.600054,黄山旅游,12.36,12.28,open,-0.72,False
2026-01-19,2026-01-20,2026-01-21,sh.600054,黄山旅游,11.85,11.96,open,0.92,True
2025-04-21,2025-04-22,2025-04-23,sh.600055,万东医疗,17.42,17.56,open,0.8,True
2025-05-06,2025-05-07,2025-05-08,sh.600057,厦门象屿,6.35,6.33,open,-0.3,False
2025-11-13,2025-11-14,2025-11-17,sh.600057,厦门象屿,8.82,8.77,open,-0.56,False
2025-08-22,2025-08-25,2025-08-26,sh.600058,五矿发展,9.5,9.36,open,-1.47,False
2025-11-06,2025-11-07,2025-11-10,sh.600058,五矿发展,9.89,9.63,open,-2.63,False
2025-11-11,2025-11-12,2025-11-13,sh.600058,五矿发展,9.75,9.79,open,0.41,True
2025-06-16,2025-06-17,2025-06-18,sh.600059,古越龙山,10.66,10.97,open,2.91,True
2025-10-21,2025-10-22,2025-10-23,sh.600064,南京高科,8.61,8.56,open,-0.58,False
2025-01-24,2025-01-27,2025-02-05,sh.600066,宇通客车,27.45,26.96,open,-1.79,False
2025-06-06,2025-06-09,2025-06-10,sh.600067,冠城新材,2.74,2.74,open,0.0,False
2025-07-02,2025-07-03,2025-07-04,sh.600067,冠城新材,2.8,2.8,open,0.0,False
2025-10-21,2025-10-22,2025-10-23,sh.600067,冠城新材,3.58,3.59,open,0.28,True
2025-09-19,2025-09-22,2025-09-23,sh.600071,凤凰光学,23.83,24.58,open,3.15,True
2025-07-07,2025-07-08,2025-07-09,sh.600072,中船科技,13.08,13.11,open,0.23,True
2026-05-13,2026-05-14,2026-05-15,sh.600072,中船科技,13.79,13.53,open,-1.89,False
2025-04-28,2025-04-29,2025-04-30,sh.600073,光明肉业,8.22,8.07,open,-1.81,False
2025-11-13,2025-11-14,2025-11-17,sh.600075,新疆天业,5.43,5.54,open,2.03,True
2026-01-19,2026-01-20,2026-01-21,sh.600075,新疆天业,5.75,6.03,open,4.87,True
2026-03-06,2026-03-09,2026-03-10,sh.600075,新疆天业,7.3,6.85,open,-6.16,False
2025-08-26,2025-08-27,2025-08-28,sh.600076,康欣新材,2.9,2.76,open,-4.83,False
2025-12-31,2026-01-05,2026-01-06,sh.600076,康欣新材,3.44,3.6,open,4.65,True
2026-04-29,2026-04-30,2026-05-06,sh.600078,澄星股份,13.24,13.21,open,-0.23,False
2026-05-06,2026-05-07,2026-05-08,sh.600078,澄星股份,14.0,13.6,open,-2.86,False
2026-05-15,2026-05-18,2026-05-19,sh.600078,澄星股份,15.75,16.04,open,1.84,True
2025-06-03,2025-06-04,2025-06-05,sh.600079,人福医药,22.29,22.16,open,-0.57,False
2025-11-20,2025-11-21,2025-11-24,sh.600080,金花股份,8.51,8.25,open,-3.06,False
2026-02-25,2026-02-26,2026-02-27,sh.600080,金花股份,8.84,8.95,open,1.24,True
2026-03-12,2026-03-13,2026-03-16,sh.600080,金花股份,8.9,8.57,open,-3.71,False
2025-05-22,2025-05-23,2025-05-26,sh.600081,东风科技,15.25,15.3,open,0.33,True
2025-06-03,2025-06-04,2025-06-05,sh.600082,海泰发展,3.91,4.05,open,3.58,True
2025-07-21,2025-07-22,2025-07-23,sh.600082,海泰发展,4.12,4.05,open,-1.7,False
2025-09-10,2025-09-11,2025-09-12,sh.600082,海泰发展,4.27,4.23,open,-0.94,False
2025-09-12,2025-09-15,2025-09-16,sh.600082,海泰发展,4.34,4.24,open,-2.3,False
2025-11-05,2025-11-06,2025-11-07,sh.600082,海泰发展,4.93,4.92,open,-0.2,False
2025-11-10,2025-11-11,2025-11-12,sh.600082,海泰发展,5.37,5.39,open,0.37,True
2026-01-29,2026-01-30,2026-02-02,sh.600088,中视传媒,17.8,17.68,open,-0.67,False
2025-07-08,2025-07-09,2025-07-10,sh.600089,特变电工,12.3,12.26,open,-0.31,False
2025-09-11,2025-09-12,2025-09-15,sh.600089,特变电工,14.9,14.83,open,-0.47,False
2025-09-26,2025-09-29,2025-09-30,sh.600094,大名城,4.34,4.43,open,2.07,True
2026-01-29,2026-01-30,2026-02-02,sh.600094,大名城,5.12,5.0,open,-2.34,False
2025-05-19,2025-05-20,2025-05-21,sh.600095,湘财股份,8.36,8.66,open,3.59,True
2025-07-30,2025-07-31,2025-08-01,sh.600096,云天化,24.81,24.44,open,-1.48,False
2025-08-15,2025-08-18,2025-08-19,sh.600096,云天化,25.98,25.7,open,-1.07,False
2025-11-05,2025-11-06,2025-11-07,sh.600096,云天化,29.44,33.1,open,12.43,True
2025-11-13,2025-11-14,2025-11-17,sh.600096,云天化,35.18,35.0,open,-0.51,False
2026-01-19,2026-01-20,2026-01-21,sh.600096,云天化,34.89,34.8,open,-0.28,False
2026-03-06,2026-03-09,2026-03-10,sh.600096,云天化,41.96,39.38,open,-6.14,False
2025-10-23,2025-10-24,2025-10-27,sh.600098,广州发展,7.07,6.93,open,-1.98,False
2025-05-15,2025-05-16,2025-05-19,sh.600099,林海股份,10.35,10.44,open,0.87,True
2026-04-24,2026-04-27,2026-04-28,sh.600099,林海股份,11.46,11.27,open,-1.66,False
2025-02-21,2025-02-24,2025-02-25,sh.600100,同方股份,9.19,9.53,open,3.7,True
