date,holdings,n_holdings,target_pool,cash,stock_value,total,day_return_pct,cum_return_pct,actions
2026-02-24,"sz.300749,sz.301526,sz.001896,sh.600397,sh.605033,sz.301217,sh.603256,sz.300812,sz.301580",9,"sz.300749,sz.301526,sz.001896,sh.600397,sh.605033,sz.301217,sh.603256,sh.605289,sz.300812,sz.301580",29898.97,70031.0,99929.97,-0.07,-0.07,买入 sz.300749 200股; 买入 sz.301526 500股; 买入 sz.001896 800股; 买入 sh.600397 500股; 买入 sh.605033 200股; 买入 sz.301217 200股; 买入 sh.603256 100股; 买入 sz.300812 200股; 买入 sz.301580 100股
2026-02-25,"sz.301526,sz.001896,sh.600397,sz.301217,sh.603256,sz.301580,sz.002498,sz.300739",8,"sz.001896,sz.301526,sz.301217,sh.600397,sh.688480,sh.605289,sz.301580,sz.002498,sz.300739,sh.603256",33699.51,69655.0,103354.51,3.4269,3.3545,卖出 sz.300749; 卖出 sh.605033; 卖出 sz.300812; 买入 sz.002498 1100股; 买入 sz.300739 300股
2026-02-26,"sz.001896,sh.600397,sz.301217,sz.002498,sz.300739,sz.000890,sz.300277",7,"sz.300739,sz.001896,sz.301217,sh.605289,sh.688480,sh.600397,sz.002498,sz.000890,sz.301018,sz.300277",41308.22,65547.0,106855.22,3.3871,6.8552,卖出 sz.301526; 卖出 sh.603256; 卖出 sz.301580; 买入 sz.000890 1100股; 买入 sz.300277 300股
2026-02-27,"sz.001896,sh.600397,sz.300739,sz.000890,sz.300788,sz.002470,sz.300164",7,"sz.001896,sh.605289,sh.600397,sh.688480,sz.300739,sz.300788,sz.002470,sz.000890,sh.688125,sz.300164",38610.34,68314.0,106924.34,0.0647,6.9243,卖出 sz.301217; 卖出 sz.002498; 卖出 sz.300277; 买入 sz.300788 200股; 买入 sz.002470 3100股; 买入 sz.000890 100股; 买入 sz.300164 600股
2026-03-02,"sz.001896,sz.300164,sz.300191,sz.301226,sz.300157,sz.300658,sh.601872",7,"sz.300164,sz.001896,sh.688480,sz.300191,sz.301226,sz.300157,sz.300658,sh.601872,sh.605289,sh.688028",42316.56,66150.0,108466.56,1.4423,8.4666,卖出 sh.600397; 卖出 sz.300739; 卖出 sz.000890; 卖出 sz.300788; 卖出 sz.002470; 买入 sz.300191 200股; 买入 sz.301226 200股; 买入 sz.300157 1100股; 买入 sz.300658 300股; 买入 sh.601872 500股
2026-03-03,"sz.300164,sz.300191,sz.300157,sz.300658,sh.601872,sz.002980,sz.301158,sz.301302,sz.002843,sz.300483",10,"sz.300164,sz.300658,sz.300191,sz.300157,sz.002980,sz.301158,sh.601872,sz.301302,sz.002843,sz.300483",21114.03,93252.0,114366.03,5.439,14.366,卖出 sz.001896; 卖出 sz.301226; 买入 sz.002980 200股; 买入 sz.301158 200股; 买入 sz.301302 200股; 买入 sz.002843 300股; 买入 sz.300483 400股
2026-03-04,"sz.300164,sz.300191,sz.002980,sz.301302,sh.603318,sh.600108,sh.600498,sh.603618,sh.603950",9,"sz.300164,sz.301302,sh.603318,sh.600108,sh.600498,sz.300191,sh.603618,sh.688025,sz.002980,sh.603950",28786.93,82357.0,111143.93,-2.8174,11.1439,卖出 sz.300157; 卖出 sz.300658; 卖出 sh.601872; 卖出 sz.301158; 卖出 sz.002843; 卖出 sz.300483; 买入 sh.603318 900股; 买入 sh.600108 1800股; 买入 sh.600498 100股; 买入 sh.603618 400股; 买入 sh.603950 200股
2026-03-05,"sz.300164,sz.301302,sh.603318,sh.600108,sz.002490,sh.600714,sz.300303,sz.300317,sh.600236",9,"sz.300164,sz.002490,sh.600714,sh.600108,sz.301302,sz.301338,sz.300303,sz.300317,sh.600236,sh.603318",21481.08,85375.0,106856.08,-3.8579,6.8561,卖出 sz.300191; 卖出 sz.002980; 卖出 sh.600498; 卖出 sh.603618; 卖出 sh.603950; 买入 sz.002490 700股; 买入 sh.600714 400股; 买入 sh.600108 100股; 买入 sz.300303 700股; 买入 sz.300317 1600股; 买入 sh.600236 800股; 买入 sh.603318 100股
2026-03-06,"sz.300164,sh.600108,sz.002490,sh.600714,sh.600722,sz.301373,sz.300831,sh.688176,sz.300658,sz.300323",10,"sz.002490,sh.600722,sz.301373,sh.600108,sz.300831,sh.688176,sz.300658,sh.600714,sz.300323,sz.300164",13219.51,92065.0,105284.51,-1.4707,5.2845,卖出 sz.301302; 卖出 sh.603318; 卖出 sz.300303; 卖出 sz.300317; 卖出 sh.600236; 买入 sh.600722 700股; 买入 sz.301373 100股; 买入 sz.300831 400股; 买入 sh.688176 500股; 买入 sz.300658 300股; 买入 sz.300323 700股
2026-03-09,"sz.002490,sz.301373,sh.688176,sz.300323,sh.605268,sz.000533,sz.300880,sz.301638,sz.301179",9,"sz.301373,sh.688176,sh.605268,sz.000533,sz.300880,sz.301638,sz.300323,sz.002490,sz.301179,sh.688525",31112.94,72425.0,103537.94,-1.6589,3.5379,卖出 sz.300164; 卖出 sh.600108; 卖出 sh.600714; 卖出 sh.600722; 卖出 sz.300831; 卖出 sz.300658; 买入 sh.605268 600股; 买入 sz.000533 500股; 买入 sz.300880 300股; 买入 sz.301638 200股; 买入 sz.301179 300股
