symbol,setup_tag,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason
sz.300749,momentum_trend_5,2026-02-24,2026-02-25,34.39,35.6,3.5185,rank_or_ma
sh.605033,momentum_trend_5,2026-02-24,2026-02-25,31.54,29.45,-6.6265,rank_or_ma
sz.300812,momentum_trend_5,2026-02-24,2026-02-25,44.44,43.2,-2.7903,rank_or_ma
sz.301526,momentum_trend_5,2026-02-24,2026-02-26,15.19,15.6,2.6991,rank_or_ma
sh.603256,momentum_trend_5,2026-02-24,2026-02-26,78.76,85.56,8.6338,rank_or_ma
sz.301580,momentum_trend_5,2026-02-24,2026-02-26,69.52,76.15,9.5368,rank_or_ma
sz.301217,momentum_trend_5,2026-02-24,2026-02-27,44.95,47.45,5.5617,rank_or_ma
sz.002498,momentum_trend_5,2026-02-25,2026-02-27,8.2,8.26,0.7317,rank_or_ma
sz.300277,momentum_trend_5,2026-02-26,2026-02-27,25.0,25.13,0.52,rank_or_ma
sh.600397,momentum_trend_5,2026-02-24,2026-03-02,17.04,21.5,26.1737,rank_or_ma
sz.300739,momentum_trend_5,2026-02-25,2026-03-02,29.3,31.67,8.0887,rank_or_ma
sz.000890,momentum_trend_5,2026-02-26,2026-03-02,7.99,8.43,5.5069,rank_or_ma
sz.300788,momentum_trend_5,2026-02-27,2026-03-02,46.7,42.0,-10.0642,rank_or_ma
sz.002470,momentum_trend_5,2026-02-27,2026-03-02,3.1,2.91,-6.129,rank_or_ma
sz.001896,momentum_trend_5,2026-02-24,2026-03-03,10.03,13.28,32.4028,rank_or_ma
sz.301226,momentum_trend_5,2026-03-02,2026-03-03,48.16,42.87,-10.9842,rank_or_ma
sz.300157,momentum_trend_5,2026-03-02,2026-03-04,8.39,9.19,9.5352,rank_or_ma
sz.300658,momentum_trend_5,2026-03-02,2026-03-04,24.51,26.33,7.4255,rank_or_ma
sh.601872,momentum_trend_5,2026-03-02,2026-03-04,17.86,17.71,-0.8399,rank_or_ma
sz.301158,momentum_trend_5,2026-03-03,2026-03-04,37.44,32.23,-13.9156,rank_or_ma
sz.002843,momentum_trend_5,2026-03-03,2026-03-04,28.99,28.21,-2.6906,rank_or_ma
sz.300483,momentum_trend_5,2026-03-03,2026-03-04,25.03,22.9,-8.5098,rank_or_ma
sz.300191,momentum_trend_5,2026-03-02,2026-03-05,44.23,46.8,5.8105,rank_or_ma
sz.002980,momentum_trend_5,2026-03-03,2026-03-05,35.06,32.46,-7.4159,rank_or_ma
sh.600498,momentum_trend_5,2026-03-04,2026-03-05,58.44,56.77,-2.8576,rank_or_ma
sh.603618,momentum_trend_5,2026-03-04,2026-03-05,20.59,20.82,1.117,rank_or_ma
