date,theme_active,theme_name,advice,actions,holdings,holding_names,cash,stock_value,total,day_return_pct,cum_return_pct
2026-02-04,False,,空仓观望：无激活主线 | 无交易,—,现金,现金,400000.0,0.0,400000.0,0.0,0.0
2026-02-05,False,,空仓观望：无激活主线 | 无交易,—,现金,现金,400000.0,0.0,400000.0,0.0,0.0
2026-02-06,False,,空仓观望：无激活主线 | 无交易,—,现金,现金,400000.0,0.0,400000.0,0.0,0.0
2026-02-09,True,光纤光缆-算力网络,"主线「光纤光缆-算力网络」 | 可买: sh.600498 烽火通信,sz.000070 特发信息 | 观察: sh.600487 亨通光电,sh.601869 长飞光纤,sh.600522 中天科技 | 今日执行: 买入 sh.600498 烽火通信 4400股 @42.84; 买入 sz.000070 特发信息 12900股 @14.65",买入 sh.600498 烽火通信 4400股 @42.84; 买入 sz.000070 特发信息 12900股 @14.65,"sh.600498,sz.000070","sh.600498(烽火通信),sz.000070(特发信息)",22141.52,377481.0,399622.52,-0.0944,-0.0944
2026-02-10,True,光纤光缆-算力网络,"主线「光纤光缆-算力网络」 | 可买: sh.600105 永鼎股份,sh.600522 中天科技 | 观察: sh.600487 亨通光电,sh.601869 长飞光纤,sz.000070 特发信息 | 继续持有: sh.600498 烽火通信(4400股),sz.000070 特发信息(12900股)",—,"sh.600498,sz.000070","sh.600498(烽火通信),sz.000070(特发信息)",22141.52,400932.0,423073.52,5.8683,5.7684
2026-02-11,True,光纤光缆-算力网络,"主线「光纤光缆-算力网络」 | 可买: sh.600487 亨通光电,sh.601869 长飞光纤 | 观察: sh.600522 中天科技,sh.600105 永鼎股份,sh.600498 烽火通信 | 继续持有: sh.600498 烽火通信(4400股),sz.000070 特发信息(12900股)",—,"sh.600498,sz.000070","sh.600498(烽火通信),sz.000070(特发信息)",22141.52,411845.0,433986.52,2.5795,8.4966
2026-02-12,True,光纤光缆-算力网络,"主线「光纤光缆-算力网络」 | 可买: sh.600105 永鼎股份,sh.600487 亨通光电 | 观察: sh.601869 长飞光纤,sz.000070 特发信息,sh.600522 中天科技 | 继续持有: sh.600498 烽火通信(4400股),sz.000070 特发信息(12900股)",—,"sh.600498,sz.000070","sh.600498(烽火通信),sz.000070(特发信息)",22141.52,442378.0,464519.52,7.0355,16.1299
2026-02-13,True,光纤光缆-算力网络,"主线「光纤光缆-算力网络」 | 可买: sh.600487 亨通光电,sh.601869 长飞光纤 | 观察: sz.000070 特发信息,sh.600498 烽火通信,sh.600522 中天科技 | 继续持有: sh.600498 烽火通信(4400股),sz.000070 特发信息(12900股)",—,"sh.600498,sz.000070","sh.600498(烽火通信),sz.000070(特发信息)",22141.52,409611.0,431752.52,-7.054,7.9381
2026-02-24,True,光纤光缆-算力网络,"主线「光纤光缆-算力网络」 | 可买: sz.000070 特发信息,sh.600522 中天科技 | 观察: sh.600487 亨通光电,sh.601869 长飞光纤,sh.600498 烽火通信 | 继续持有: sh.600498 烽火通信(4400股),sz.000070 特发信息(12900股)",—,"sh.600498,sz.000070","sh.600498(烽火通信),sz.000070(特发信息)",22141.52,428556.0,450697.52,4.3879,12.6744
2026-02-25,False,,"空仓观望：无激活主线 | 今日执行: 卖出 sh.600498 烽火通信 4400股 @42.60 (theme_off, -0.56%); 卖出 sz.000070 特发信息 12900股 @18.14 (theme_off, +23.82%)","卖出 sh.600498 烽火通信 4400股 @42.60 (theme_off, -0.56%); 卖出 sz.000070 特发信息 12900股 @18.14 (theme_off, +23.82%)",现金,现金,443166.07,0.0,443166.07,-1.6711,10.7915
2026-02-26,False,,空仓观望：无激活主线 | 无交易,—,现金,现金,443166.07,0.0,443166.07,0.0,10.7915
2026-02-27,False,,空仓观望：无激活主线 | 无交易,—,现金,现金,443166.07,0.0,443166.07,0.0,10.7915
2026-03-02,True,光纤光缆-算力网络,"主线「光纤光缆-算力网络」 | 可买: sh.600487 亨通光电,sh.601869 长飞光纤 | 观察: sz.000070 特发信息,sh.600498 烽火通信,sh.600522 中天科技 | 今日执行: 买入 sh.600487 亨通光电 4200股 @49.60; 买入 sh.601869 长飞光纤 800股 @242.42",买入 sh.600487 亨通光电 4200股 @49.60; 买入 sh.601869 长飞光纤 800股 @242.42,"sh.600487,sh.601869","sh.600487(亨通光电),sh.601869(长飞光纤)",40507.82,402256.0,442763.82,-0.0908,10.691
2026-03-03,True,算电协同-电力运营,"主线「算电协同-电力运营」 | 可买: sh.600795 国电电力,sh.600900 长江电力 | 观察: sz.000767 晋控电力,sh.600023 浙能电力,sh.600027 华电国际 | 继续持有: sh.600487 亨通光电(4200股),sh.601869 长飞光纤(800股)",—,"sh.600487,sh.601869","sh.600487(亨通光电),sh.601869(长飞光纤)",40507.82,388384.0,428891.82,-3.133,7.223
