date,holdings,n_holdings,buy_signals,cash,stock_value,total,day_return_pct,cum_return_pct,actions
2025-05-22,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-05-23,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-05-26,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-05-27,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-05-28,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-05-29,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-05-30,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-03,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-04,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-05,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-06,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-09,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-10,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-11,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-12,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-13,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-16,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-17,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-18,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-19,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-20,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-23,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-24,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-25,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-26,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-27,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-06-30,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-01,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-02,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-03,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-04,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-07,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-08,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-09,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-10,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-11,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-14,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-15,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-16,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-17,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-18,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-21,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-22,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-23,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-24,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-25,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-28,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-29,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-30,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-07-31,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-01,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-04,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-05,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-06,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-07,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-08,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-11,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-12,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-13,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-14,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-15,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-18,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-19,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-20,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-21,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-22,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-25,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-26,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-27,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-28,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-08-29,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-01,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-02,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-03,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-04,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-05,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-08,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-09,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-10,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-11,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-12,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-15,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-16,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-17,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-18,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-19,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-22,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-23,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-24,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-25,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-26,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-29,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-09-30,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-09,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-10,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-13,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-14,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-15,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-16,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-17,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-20,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-21,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-22,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-23,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-24,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-27,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-28,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-29,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-30,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-10-31,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-03,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-04,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-05,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-06,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-07,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-10,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-11,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-12,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-13,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-14,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-17,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-18,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-19,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-20,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-21,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-24,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-25,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-26,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-27,现金,0,,100000.0,0.0,100000.0,0.0,0.0,—
2025-11-28,现金,0,sh.603236,100000.0,0.0,100000.0,0.0,0.0,—
2025-12-01,sh.603236,1,"sz.001696,sh.603920",81781.8,18850.0,100631.8,0.6318,0.6318,买入 sh.603236 200股 @91.00
2025-12-02,"sh.603236,sz.001696,sh.603920",3,,38795.98,60833.58,99629.56,-0.9959,-0.3704,买入 sz.001696 1000股 @22.40; 买入 sh.603920 500股 @41.09
2025-12-03,sh.603236,1,,80196.72,17992.0,98188.72,-1.4462,-1.8113,卖出 sz.001696 (volume_deterioration); 卖出 sh.603920 (volume_deterioration)
2025-12-04,现金,0,,98212.68,0.0,98212.68,0.0244,-1.7873,卖出 sh.603236 (volume_deterioration)
2025-12-05,现金,0,,98212.68,0.0,98212.68,0.0,-1.7873,—
2025-12-08,现金,0,,98212.68,0.0,98212.68,0.0,-1.7873,—
2025-12-09,现金,0,,98212.68,0.0,98212.68,0.0,-1.7873,—
2025-12-10,现金,0,"sh.688667,sh.603267",98212.68,0.0,98212.68,0.0,-1.7873,—
2025-12-11,"sh.688667,sh.603267",2,,60714.22,37252.0,97966.22,-0.2509,-2.0338,买入 sh.688667 300股 @59.99; 买入 sh.603267 400股 @48.66
2025-12-12,"sh.688667,sh.603267",2,,60714.22,38169.0,98883.22,0.936,-1.1168,—
2025-12-15,"sh.688667,sh.603267",2,,60714.22,37492.0,98206.22,-0.6846,-1.7938,—
2025-12-16,"sh.688667,sh.603267",2,,60714.22,36600.0,97314.22,-0.9083,-2.6858,—
2025-12-17,现金,0,,97304.6,0.0,97304.6,-0.0099,-2.6954,卖出 sh.688667 (volume_deterioration); 卖出 sh.603267 (volume_deterioration)
