symbol,setup_tag,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason
sh.688209,tech_gentle_value_rise,2025-09-18,2025-09-19,20.8,20.27,-2.5481,stop_loss
sz.000913,tech_gentle_value_rise,2025-10-13,2025-10-13,17.11,17.25,0.8182,ma20_break
sh.600482,tech_gentle_value_rise,2025-10-09,2025-10-14,22.135,22.8224,3.1053,volume_deterioration
sz.002063,tech_gentle_value_rise,2025-10-14,2025-10-16,6.49,6.48,-0.1541,volume_deterioration
sh.603662,tech_gentle_value_rise,2025-10-27,2025-10-27,68.44,67.74,-1.0228,ma20_break
sh.688150,tech_gentle_value_rise,2025-10-27,2025-10-28,25.85,25.69,-0.619,volume_deterioration
sh.603082,tech_gentle_value_rise,2025-10-28,2025-10-28,38.57,38.36,-0.5445,ma20_break
sh.600776,tech_gentle_value_rise,2025-10-27,2025-10-29,12.98,12.89,-0.6934,volume_deterioration
sz.002093,tech_gentle_value_rise,2025-10-27,2025-10-30,11.51,11.17,-2.954,stop_loss
sh.603341,tech_gentle_value_rise,2025-10-30,2025-10-30,46.97,45.18,-3.8109,stop_loss
sh.688208,tech_gentle_value_rise,2025-10-30,2025-11-03,38.85,37.77,-2.7799,stop_loss
sh.688657,tech_gentle_value_rise,2025-10-30,2025-11-04,56.0,57.32,2.3571,volume_deterioration
sz.000100,tech_gentle_value_rise,2025-11-04,2025-11-04,4.33,4.25,-1.8476,volume_deterioration
sh.688565,tech_gentle_value_rise,2025-11-06,2025-11-10,10.99,10.7,-2.6388,stop_loss
sh.688161,tech_gentle_value_rise,2025-11-17,2025-11-18,31.07,30.39,-2.1886,stop_loss
sz.000020,tech_gentle_value_rise,2025-11-20,2025-11-25,15.93,15.42,-3.2015,stop_loss
sh.603920,tech_gentle_value_rise,2025-12-01,2025-12-02,41.7113,40.3312,-3.3087,stop_loss
sh.603236,tech_gentle_value_rise,2025-12-01,2025-12-04,91.0,90.17,-0.9121,volume_deterioration
sz.000725,tech_gentle_value_rise,2025-12-05,2025-12-09,4.05,4.17,2.963,volume_deterioration
sz.000100,tech_gentle_value_rise,2025-12-05,2025-12-09,4.35,4.47,2.7586,volume_deterioration
sh.603289,tech_gentle_value_rise,2025-12-09,2025-12-10,10.32,10.22,-0.969,volume_deterioration
sh.603296,tech_gentle_value_rise,2025-12-11,2025-12-11,97.12,93.45,-3.7788,stop_loss
sh.688667,tech_gentle_value_rise,2025-12-11,2025-12-11,59.99,59.2,-1.3169,ma20_break
sz.001388,tech_gentle_value_rise,2025-12-12,2025-12-15,43.7,43.0,-1.6018,ma20_break
sh.603267,tech_gentle_value_rise,2025-12-11,2025-12-17,48.66,47.7,-1.9729,volume_deterioration
sz.001389,tech_gentle_value_rise,2025-12-15,2025-12-18,76.6,79.39,3.6423,volume_deterioration
sh.600563,tech_gentle_value_rise,2025-12-25,2025-12-26,104.88,105.97,1.0393,volume_deterioration
sh.605305,tech_gentle_value_rise,2025-12-25,2025-12-26,43.09,42.41,-1.5781,volume_deterioration
sh.600563,tech_gentle_value_rise,2025-12-30,2025-12-30,106.22,106.0,-0.2071,volume_deterioration
sh.688100,tech_gentle_value_rise,2025-12-25,2025-12-31,37.0822,38.9869,5.1364,volume_deterioration
sh.603501,tech_gentle_value_rise,2025-12-29,2025-12-31,128.84,125.9,-2.2819,stop_loss
sh.603082,tech_gentle_value_rise,2025-12-31,2026-01-07,36.98,36.93,-0.1352,volume_deterioration
sz.001339,tech_gentle_value_rise,2025-12-31,2026-01-08,50.5,53.39,5.7228,volume_deterioration
sh.603160,tech_gentle_value_rise,2026-01-07,2026-01-09,81.85,81.84,-0.0122,volume_deterioration
sh.688101,tech_gentle_value_rise,2026-01-09,2026-01-09,16.9262,16.9757,0.2924,volume_deterioration
sh.600633,tech_gentle_value_rise,2026-01-07,2026-01-13,13.17,16.17,22.779,volume_deterioration
sh.688252,tech_gentle_value_rise,2026-01-12,2026-01-15,22.75,22.6,-0.6593,volume_deterioration
sh.603325,tech_gentle_value_rise,2026-01-12,2026-01-16,83.4,88.46,6.0671,volume_deterioration
sh.605258,tech_gentle_value_rise,2026-01-09,2026-01-20,32.04,33.29,3.9014,volume_deterioration
sh.688101,tech_gentle_value_rise,2026-01-19,2026-01-21,17.4409,17.9259,2.7809,volume_deterioration
sh.600563,tech_gentle_value_rise,2026-01-22,2026-01-22,115.98,114.45,-1.3192,volume_deterioration
sz.300207,tech_gentle_value_rise,2026-02-12,2026-02-12,25.41,25.78,1.4561,volume_deterioration
sh.600563,tech_gentle_value_rise,2026-02-13,2026-02-24,112.3,113.82,1.3535,volume_deterioration
sh.603890,tech_gentle_value_rise,2026-02-24,2026-02-24,15.3,15.15,-0.9804,ma20_break
sh.688486,tech_gentle_value_rise,2026-02-25,2026-03-02,77.8,76.74,-1.3625,ma20_break
sh.688208,tech_gentle_value_rise,2026-02-27,2026-03-02,36.559,35.5029,-2.8888,stop_loss
sh.688080,tech_gentle_value_rise,2026-03-11,2026-03-12,62.4,59.47,-4.6955,stop_loss
sh.603270,tech_gentle_value_rise,2026-04-02,2026-04-03,24.96,24.39,-2.2837,stop_loss
sh.601177,tech_gentle_value_rise,2026-04-14,2026-04-14,14.81,14.72,-0.6077,volume_deterioration
sz.001285,tech_gentle_value_rise,2026-04-14,2026-04-14,53.57,53.9,0.616,volume_deterioration
sz.300570,tech_gentle_value_rise,2026-04-10,2026-04-15,129.0,130.03,0.7984,volume_deterioration
sh.688665,tech_gentle_value_rise,2026-04-14,2026-04-15,48.0,46.66,-2.7917,stop_loss
sz.000576,tech_gentle_value_rise,2026-04-15,2026-04-17,9.78,9.8,0.2045,volume_deterioration
sh.688800,tech_gentle_value_rise,2026-04-20,2026-04-20,97.22,96.71,-0.5246,volume_deterioration
sh.688100,tech_gentle_value_rise,2026-04-20,2026-04-21,38.58,37.9,-1.7626,volume_deterioration
sz.002049,tech_gentle_value_rise,2026-04-20,2026-04-21,72.89,70.27,-3.5945,stop_loss
sh.603325,tech_gentle_value_rise,2026-04-21,2026-04-21,76.5,76.74,0.3137,volume_deterioration
sz.000801,tech_gentle_value_rise,2026-04-21,2026-04-21,14.47,14.41,-0.4147,volume_deterioration
sh.688569,tech_gentle_value_rise,2026-04-22,2026-04-23,21.45,20.53,-4.289,stop_loss
sh.688049,tech_gentle_value_rise,2026-04-23,2026-04-23,48.03,46.91,-2.3319,stop_loss
sh.603267,tech_gentle_value_rise,2026-04-23,2026-04-23,53.32,52.28,-1.9505,volume_deterioration
sh.603160,tech_gentle_value_rise,2026-04-23,2026-04-24,70.98,65.05,-8.3545,stop_loss
sh.600388,tech_gentle_value_rise,2026-04-27,2026-04-27,19.5,18.68,-4.2051,stop_loss
sz.000682,tech_gentle_value_rise,2026-04-24,2026-04-28,13.65,13.26,-2.8571,stop_loss
sh.603596,tech_gentle_value_rise,2026-04-28,2026-04-28,31.4043,29.8894,-4.8239,stop_loss
sh.688358,tech_gentle_value_rise,2026-04-30,2026-05-07,30.5,32.62,6.9508,volume_deterioration
sh.688049,tech_gentle_value_rise,2026-05-06,2026-05-08,49.06,49.08,0.0408,volume_deterioration
sz.001379,tech_gentle_value_rise,2026-05-07,2026-05-11,22.36,22.53,0.7603,volume_deterioration
sh.688665,tech_gentle_value_rise,2026-05-07,2026-05-12,50.79,51.7,1.7917,volume_deterioration
sh.688255,tech_gentle_value_rise,2026-05-08,2026-05-12,31.84,31.85,0.0314,volume_deterioration
sh.688358,tech_gentle_value_rise,2026-05-11,2026-05-13,33.66,34.39,2.1687,volume_deterioration
sh.688049,tech_gentle_value_rise,2026-05-14,2026-05-14,51.94,50.35,-3.0612,stop_loss
sz.000997,tech_gentle_value_rise,2026-05-12,2026-05-15,22.38,22.45,0.3128,volume_deterioration
