symbol,name,shares,setup_tag,entry_date,exit_date,hold_days,entry_price,exit_price,pnl_pct,exit_reason
sz.001696,宗申动力,1000,tech_gentle_value_rise,2025-12-02,2025-12-03,1,22.4,21.5,-4.02,volume_deterioration
sh.603920,世运电路,500,tech_gentle_value_rise,2025-12-02,2025-12-03,1,41.09,39.88,-2.92,volume_deterioration
sh.603236,移远通信,200,tech_gentle_value_rise,2025-12-01,2025-12-04,3,91.0,90.17,-0.91,volume_deterioration
sh.688667,菱电电控,300,tech_gentle_value_rise,2025-12-11,2025-12-17,4,59.99,58.49,-2.5,volume_deterioration
sh.603267,鸿远电子,400,tech_gentle_value_rise,2025-12-11,2025-12-17,4,48.66,47.7,-1.97,volume_deterioration
sh.600563,法拉电子,200,tech_gentle_value_rise,2025-12-25,2025-12-26,1,104.88,105.97,1.04,volume_deterioration
sz.001339,智微智能,400,tech_gentle_value_rise,2026-01-06,2026-01-08,2,53.78,53.39,-0.73,volume_deterioration
sh.600171,上海贝岭,700,tech_gentle_value_rise,2026-01-12,2026-01-13,1,32.76,32.17,-1.8,volume_deterioration
sh.688252,天德钰,1000,tech_gentle_value_rise,2026-01-12,2026-01-15,3,22.75,22.6,-0.66,volume_deterioration
sh.603325,博隆技术,200,tech_gentle_value_rise,2026-01-12,2026-01-16,4,83.4,88.46,6.07,volume_deterioration
sh.605258,协和电子,700,tech_gentle_value_rise,2026-01-09,2026-01-20,7,32.04,33.29,3.9,volume_deterioration
sh.688186,广大特材,900,tech_gentle_value_rise,2026-03-02,2026-03-10,6,24.51,28.9,17.91,volume_deterioration
sh.688475,萤石网络,800,tech_gentle_value_rise,2026-03-17,2026-03-18,1,28.46,27.85,-2.14,volume_deterioration
sz.300570,太辰光,100,tech_gentle_value_rise,2026-04-10,2026-04-15,3,129.0,130.03,0.8,volume_deterioration
sh.601177,杭齿前进,1600,tech_gentle_value_rise,2026-04-14,2026-04-15,1,14.81,14.6,-1.42,volume_deterioration
sz.001285,瑞立科密,400,tech_gentle_value_rise,2026-04-14,2026-04-15,1,53.57,52.88,-1.29,volume_deterioration
sh.688100,威胜信息,600,tech_gentle_value_rise,2026-04-20,2026-04-21,1,38.58,37.9,-1.76,volume_deterioration
sz.002049,紫光国微,300,tech_gentle_value_rise,2026-04-20,2026-04-24,4,72.89,71.1,-2.46,volume_deterioration
sh.603325,博隆技术,300,tech_gentle_value_rise,2026-04-21,2026-04-24,3,76.5,69.3,-9.41,stop_loss
sh.603160,汇顶科技,300,tech_gentle_value_rise,2026-04-23,2026-04-24,1,70.98,65.05,-8.35,stop_loss
sh.688358,祥生医疗,700,tech_gentle_value_rise,2026-05-06,2026-05-07,1,31.38,32.62,3.95,volume_deterioration
sh.688049,炬芯科技,400,tech_gentle_value_rise,2026-04-23,2026-05-08,8,48.03,49.08,2.19,volume_deterioration
sh.688358,祥生医疗,600,tech_gentle_value_rise,2026-05-11,2026-05-13,2,33.66,34.39,2.17,volume_deterioration
sh.603662,柯力传感,300,tech_gentle_value_rise,2026-05-11,2026-05-13,2,61.75,61.2,-0.89,volume_deterioration
sh.603267,鸿远电子,400,tech_gentle_value_rise,2026-05-08,2026-05-14,4,54.25,57.33,5.68,volume_deterioration
sz.000997,新大陆,1000,tech_gentle_value_rise,2026-05-11,2026-05-15,4,21.78,22.45,3.08,volume_deterioration
