signal_date,symbol,name,primary_signal,exit_rule,entry_date,exit_date,hold_days,entry_price,exit_price,shares,notional,pnl_pct,pnl_amount,exit_reason,win
2026-05-15,sz.001259,利仁科技,Momentum#2,R-001+X-002,2026-05-18,2026-06-08,15,66.55,68.45,500,33308.27,2.65,882.5,ma20_break,True
2026-05-15,sz.002918,蒙娜丽莎,Momentum#3,R-001+X-002,2026-05-18,2026-05-19,1,17.55,16.77,1800,31621.59,-4.64,-1465.78,stop_loss,False
2026-05-15,sz.002747,埃斯顿,MA5反包,R-001+X-009/X-010,2026-05-18,2026-05-27,7,25.43,28.43,1300,33092.06,11.57,3829.98,ma5_break,True
2026-05-18,sz.001259,利仁科技,Momentum#1,R-001+X-002,2026-05-19,2026-05-25,4,73.17,71.28,400,29297.27,-2.78,-813.78,stop_loss,False
2026-05-18,sz.002196,方正电机,箱体突破,R-001+X-012,2026-05-19,2026-05-27,6,16.24,14.65,2000,32512.48,-9.97,-3241.78,stop_loss,False
2026-05-18,sh.688350,富淼科技,MA5反包,R-001+X-009/X-010,2026-05-19,2026-05-21,2,38.53,37.55,800,30854.82,-2.74,-844.86,stop_loss,False
2026-05-19,sz.001259,利仁科技,Momentum#1,R-001+X-002,2026-05-20,2026-05-25,3,80.53,71.28,400,32244.21,-11.66,-3760.72,stop_loss,False
2026-05-19,sh.600626,申达股份,箱体突破,R-001+X-012,2026-05-20,2026-05-26,4,4.16,4.06,8000,33313.28,-2.6,-865.76,stop_loss,False
2026-05-19,sh.600903,贵州燃气,Momentum#3,R-001+X-002,2026-05-20,2026-05-21,1,10.29,9.99,3200,32960.93,-3.11,-1024.9,stop_loss,False
2026-05-20,sz.001259,利仁科技,Momentum#1,R-001+X-002,2026-05-21,2026-05-22,1,81.0,79.2,400,32432.4,-2.42,-784.08,stop_loss,False
2026-05-20,sz.002077,大港股份,箱体突破,R-001+X-012,2026-05-21,2026-05-22,1,18.63,17.96,1700,31702.67,-3.79,-1201.2,stop_loss,False
2026-05-20,sh.688728,格科微,箱体突破,R-001+X-012,2026-05-21,2026-05-22,1,15.57,14.97,2100,32729.7,-4.05,-1324.13,stop_loss,False
2026-05-21,sz.001259,利仁科技,Momentum#1,R-001+X-002,2026-05-22,2026-05-25,1,79.2,71.28,400,31711.68,-10.18,-3228.19,stop_loss,False
2026-05-21,sh.601777,千里科技,MA5反包,R-001+X-009/X-010,2026-05-22,2026-05-26,2,12.42,11.81,2600,32324.29,-5.1,-1649.0,stop_loss,False
2026-05-21,sh.688610,埃科光电,Momentum#4,R-001+X-002,2026-05-22,2026-06-01,6,178.44,171.18,100,17861.84,-4.26,-760.96,stop_loss,False
2026-05-22,sz.300199,翰宇药业,MA5反包,R-001+X-009/X-010,2026-05-25,2026-05-28,3,24.86,24.35,1300,32350.32,-2.25,-726.97,stop_loss,False
2026-05-22,sh.688610,埃科光电,Momentum#2,R-001+X-002,2026-05-25,2026-05-26,1,200.9,185.0,100,20110.09,-8.1,-1628.59,stop_loss,False
2026-05-25,sh.688347,华虹公司,Momentum#2,R-001+X-002,2026-05-26,2026-06-12,13,214.8,218.37,100,21501.48,1.46,313.68,end_of_data,True
2026-05-25,sz.000519,中兵红箭,箱体突破,R-001+X-012,2026-05-26,2026-05-27,1,18.79,18.16,1700,31974.94,-3.55,-1133.81,stop_loss,False
2026-05-25,sh.688001,华兴源创,Momentum#3,R-001+X-002,2026-05-26,2026-05-27,1,83.26,77.34,400,33337.3,-7.3,-2432.24,stop_loss,False
2026-05-26,sh.688347,华虹公司,Momentum#1,R-001+X-002,2026-05-27,2026-06-12,12,217.98,218.37,100,21819.8,-0.02,-4.63,end_of_data,False
2026-05-26,sh.688001,华兴源创,相对抗跌,R-001+X-003,2026-05-27,2026-05-28,1,79.15,75.19,400,31691.66,-5.19,-1645.74,stop_loss,False
2026-05-27,sz.300626,华瑞股份,Momentum#4,R-001+X-002,2026-05-28,2026-05-29,1,42.05,35.49,700,29464.43,-15.77,-4646.28,stop_loss,False
2026-05-27,sh.603663,三祥新材,Momentum#2,R-001+X-002,2026-05-28,2026-05-29,1,64.68,58.87,500,32372.34,-9.16,-2966.78,stop_loss,False
2026-05-28,sz.300975,商络电子,Momentum#1,R-001+X-002,2026-05-29,2026-06-12,10,37.0,36.0,900,33333.3,-2.9,-965.7,stop_loss,False
2026-05-28,sz.300657,弘信电子,Dragon·可买,R-003+X-003,2026-05-29,2026-06-01,1,44.41,40.05,700,31118.09,-10.0,-3111.12,stop_loss,False
2026-05-29,sh.600726,华电能源,Momentum#1,R-001+X-002,2026-06-01,2026-06-02,1,10.38,9.24,3200,33249.22,-11.16,-3710.78,stop_loss,False
2026-05-29,sz.300975,商络电子,Momentum#2,R-001+X-002,2026-06-01,2026-06-12,9,37.01,36.0,900,33342.31,-2.92,-974.71,stop_loss,False
2026-05-29,sz.002552,宝鼎科技,Momentum#3,R-001+X-002,2026-06-01,2026-06-12,9,51.93,58.62,600,31189.16,12.66,3947.67,end_of_data,True
2026-06-01,sz.000539,粤电力Ａ,Momentum#1,R-001+X-002,2026-06-02,2026-06-03,1,9.68,9.4,3400,32944.91,-3.09,-1016.87,stop_loss,False
2026-06-01,sz.300975,商络电子,Momentum#2,R-001+X-002,2026-06-02,2026-06-12,8,38.6,36.0,800,30910.88,-6.92,-2139.68,stop_loss,False
2026-06-01,sh.600865,百大集团,箱体突破,R-001+X-012,2026-06-02,2026-06-03,1,10.94,10.45,3000,32852.82,-4.67,-1534.17,stop_loss,False
2026-06-02,sz.300975,商络电子,Momentum#1,R-001+X-002,2026-06-03,2026-06-10,5,41.62,39.78,800,33329.3,-4.61,-1537.12,stop_loss,False
2026-06-02,sz.301366,一博科技,MA5反包,R-001+X-009/X-010,2026-06-03,2026-06-04,1,54.16,50.3,600,32528.5,-7.31,-2378.68,stop_loss,False
2026-06-02,sz.000539,粤电力Ａ,Momentum#4,R-001+X-002,2026-06-03,2026-06-05,2,8.99,8.25,3700,33296.26,-8.41,-2801.79,stop_loss,False
2026-06-03,sz.301021,英诺激光,MA5反包,R-001+X-009/X-010,2026-06-04,2026-06-05,1,96.0,94.81,300,28828.8,-1.44,-414.24,ma5_break,False
2026-06-03,sh.600522,中天科技,Dragon·可买,R-003+X-003,2026-06-04,2026-06-12,6,43.81,48.6,700,30697.67,10.71,3288.31,end_of_data,True
2026-06-03,sz.300975,商络电子,相对抗跌,R-001+X-003,2026-06-04,2026-06-10,4,42.14,39.78,700,29527.5,-5.79,-1709.34,stop_loss,False
2026-06-04,sh.603588,高能环境,箱体突破,R-001+X-012,2026-06-05,2026-06-08,1,13.71,13.01,2400,32936.9,-5.3,-1744.13,stop_loss,False
2026-06-04,sh.600487,亨通光电,Momentum#1,R-001+X-002,2026-06-05,2026-06-12,5,96.0,97.0,300,28828.8,0.84,242.1,end_of_data,True
2026-06-04,sz.300486,东杰智能,Momentum#3,R-001+X-002,2026-06-05,2026-06-08,1,27.79,26.68,1100,30599.57,-4.19,-1280.92,stop_loss,False
2026-06-05,sh.603045,福达合金,Momentum#3,R-001+X-002,2026-06-08,2026-06-11,3,78.86,76.01,400,31575.54,-3.81,-1201.95,stop_loss,False
2026-06-05,sh.605566,福莱蒽特,MA5反包,R-001+X-009/X-010,2026-06-08,2026-06-12,4,40.36,45.6,800,32320.29,12.76,4123.23,end_of_data,True
2026-06-05,sh.600522,中天科技,Dragon·可买,R-003+X-003,2026-06-08,2026-06-12,4,44.0,48.6,700,30830.8,10.23,3155.18,end_of_data,True
2026-06-08,sh.688519,南亚新材,MA5反包,R-001+X-009/X-010,2026-06-09,2026-06-12,3,264.0,297.19,100,26426.4,12.35,3262.88,end_of_data,True
2026-06-08,sh.688456,有研粉材,MA5反包,R-001+X-009/X-010,2026-06-09,2026-06-12,3,95.96,132.05,300,28816.79,37.33,10758.6,end_of_data,True
2026-06-09,sh.600396,华电辽能,MA5反包,R-001+X-009/X-010,2026-06-10,2026-06-11,1,20.85,17.73,1500,31306.28,-15.13,-4737.87,stop_loss,False
2026-06-09,sz.002747,埃斯顿,Momentum#4,R-001+X-002,2026-06-10,2026-06-11,1,39.66,33.35,800,31759.73,-16.08,-5106.41,stop_loss,False
2026-06-09,sz.002125,湘潭电化,MA5反包,R-001+X-009/X-010,2026-06-10,2026-06-12,2,16.64,18.06,2000,33313.28,8.32,2770.6,end_of_data,True
2026-06-10,sz.002636,金安国纪,Momentum#2,R-001+X-002,2026-06-11,2026-06-12,1,77.44,89.88,400,31006.98,15.83,4909.07,end_of_data,True
2026-06-10,sh.603588,高能环境,箱体突破,R-001+X-012,2026-06-11,2026-06-12,1,14.31,14.21,2300,32945.91,-0.9,-295.6,end_of_data,False
2026-06-10,sh.603929,亚翔集成,Momentum#3,R-001+X-002,2026-06-11,2026-06-12,1,227.62,218.08,100,22784.76,-4.38,-998.57,stop_loss,False
2026-06-11,sz.002636,金安国纪,Momentum#2,R-001+X-002,2026-06-12,2026-06-12,0,89.99,89.88,300,27024.0,-0.32,-86.96,end_of_data,False
2026-06-11,sz.002378,章源钨业,箱体突破,R-001+X-012,2026-06-12,2026-06-12,0,35.0,34.64,900,31531.5,-1.23,-386.68,end_of_data,False
2026-06-11,sz.300927,江天化学,箱体突破,R-001+X-012,2026-06-12,2026-06-12,0,24.07,25.57,1300,31322.29,6.02,1885.47,end_of_data,True
