signal_date,entry_date,picks,n_picks,avg_pnl_pct,sum_pnl_amount
2026-05-15,2026-05-18,sz.001259 利仁科技 | sz.002918 蒙娜丽莎 | sz.002747 埃斯顿,3,3.19,3246.7
2026-05-18,2026-05-19,sz.001259 利仁科技 | sz.002196 方正电机 | sh.688350 富淼科技,3,-5.16,-4900.42
2026-05-19,2026-05-20,sz.001259 利仁科技 | sh.600626 申达股份 | sh.600903 贵州燃气,3,-5.79,-5651.38
2026-05-20,2026-05-21,sz.001259 利仁科技 | sz.002077 大港股份 | sh.688728 格科微,3,-3.42,-3309.41
2026-05-21,2026-05-22,sz.001259 利仁科技 | sh.601777 千里科技 | sh.688610 埃科光电,3,-6.51,-5638.15
2026-05-22,2026-05-25,sz.300199 翰宇药业 | sh.688610 埃科光电,2,-5.17,-2355.56
2026-05-25,2026-05-26,sh.688347 华虹公司 | sz.000519 中兵红箭 | sh.688001 华兴源创,3,-3.13,-3252.37
2026-05-26,2026-05-27,sh.688347 华虹公司 | sh.688001 华兴源创,2,-2.6,-1650.37
2026-05-27,2026-05-28,sz.300626 华瑞股份 | sh.603663 三祥新材,2,-12.46,-7613.06
2026-05-28,2026-05-29,sz.300975 商络电子 | sz.300657 弘信电子,2,-6.45,-4076.82
2026-05-29,2026-06-01,sh.600726 华电能源 | sz.300975 商络电子 | sz.002552 宝鼎科技,3,-0.47,-737.82
2026-06-01,2026-06-02,sz.000539 粤电力Ａ | sz.300975 商络电子 | sh.600865 百大集团,3,-4.89,-4690.72
2026-06-02,2026-06-03,sz.300975 商络电子 | sz.301366 一博科技 | sz.000539 粤电力Ａ,3,-6.78,-6717.59
2026-06-03,2026-06-04,sz.301021 英诺激光 | sh.600522 中天科技 | sz.300975 商络电子,3,1.16,1164.73
2026-06-04,2026-06-05,sh.603588 高能环境 | sh.600487 亨通光电 | sz.300486 东杰智能,3,-2.88,-2782.95
2026-06-05,2026-06-08,sh.603045 福达合金 | sh.605566 福莱蒽特 | sh.600522 中天科技,3,6.39,6076.46
2026-06-08,2026-06-09,sh.688519 南亚新材 | sh.688456 有研粉材,2,24.84,14021.48
2026-06-09,2026-06-10,sh.600396 华电辽能 | sz.002747 埃斯顿 | sz.002125 湘潭电化,3,-7.63,-7073.68
2026-06-10,2026-06-11,sz.002636 金安国纪 | sh.603588 高能环境 | sh.603929 亚翔集成,3,3.52,3614.9
2026-06-11,2026-06-12,sz.002636 金安国纪 | sz.002378 章源钨业 | sz.300927 江天化学,3,1.49,1411.83
