signal_date,symbol,name,primary_signal,exit_rule,entry_date,exit_date,hold_days,entry_price,exit_price,shares,notional,pnl_pct,pnl_amount,exit_reason,win
2026-05-15,sz.002747,埃斯顿,MA5反包,R-001+X-009/X-010,2026-05-18,2026-05-27,7,25.43,28.43,1300,33092.06,11.57,3829.98,ma5_break,True
2026-05-15,sz.002156,通富微电,Dragon支线,R-003+X-003,2026-05-18,2026-06-01,10,57.6,61.39,500,28828.8,6.37,1835.51,ma20_break,True
2026-05-15,sz.300995,奇德新材,箱体突破,R-003+X-012,2026-05-18,2026-05-27,7,38.04,35.01,800,30462.43,-8.15,-2482.44,stop_loss,False
2026-05-18,sz.002196,方正电机,箱体突破,R-003+X-012,2026-05-19,2026-05-27,6,16.24,14.65,2000,32512.48,-9.97,-3241.78,stop_loss,False
2026-05-18,sh.688350,富淼科技,MA5反包,R-001+X-009/X-010,2026-05-19,2026-05-21,2,38.53,37.55,800,30854.82,-2.74,-844.86,stop_loss,False
2026-05-18,sz.300042,朗科科技,MA5反包,R-001+X-009/X-010,2026-05-19,2026-05-21,2,71.09,67.77,400,28464.44,-4.86,-1383.54,stop_loss,False
2026-05-19,sh.600626,申达股份,箱体突破,R-003+X-012,2026-05-20,2026-05-27,5,4.16,3.8,8000,33313.28,-8.84,-2943.68,stop_loss,False
2026-05-19,sh.600753,*ST海钦,MA5反包,R-001+X-009/X-010,2026-05-20,2026-05-25,3,13.9,13.88,2300,32001.97,-0.34,-109.89,ma5_break,False
2026-05-19,sz.002887,绿茵生态,MA5反包,R-001+X-009/X-010,2026-05-20,2026-05-22,2,15.09,14.7,2200,33231.2,-2.78,-923.54,stop_loss,False
2026-05-20,sz.002077,大港股份,箱体突破,R-003+X-012,2026-05-21,2026-05-29,6,18.63,17.0,1700,31702.67,-8.93,-2831.57,stop_loss,False
2026-05-20,sh.688728,格科微,箱体突破,R-003+X-012,2026-05-21,2026-05-29,6,15.57,14.49,2100,32729.7,-7.12,-2331.13,stop_loss,False
2026-05-20,sh.603038,华立股份,箱体突破,R-003+X-012,2026-05-21,2026-05-25,2,17.31,16.65,1900,32921.89,-4.01,-1318.52,ma20_break,False
2026-05-21,sh.601777,千里科技,MA5反包,R-001+X-009/X-010,2026-05-22,2026-05-26,2,12.42,11.81,2600,32324.29,-5.1,-1649.0,stop_loss,False
2026-05-21,sz.002050,三花智控,Dragon支线,R-003+X-003,2026-05-22,2026-05-28,4,52.51,48.61,600,31537.51,-7.61,-2400.67,stop_loss,False
2026-05-21,sh.601177,杭齿前进,MA5反包,R-001+X-009/X-010,2026-05-22,2026-06-01,6,17.11,17.76,1900,32541.51,3.59,1168.75,ma5_break,True
2026-05-22,sz.300199,翰宇药业,MA5反包,R-001+X-009/X-010,2026-05-25,2026-05-28,3,24.86,24.35,1300,32350.32,-2.25,-726.97,stop_loss,False
2026-05-22,sh.603223,恒通股份,MA5反包,R-001+X-009/X-010,2026-05-25,2026-05-27,2,10.99,10.42,3000,33002.97,-5.38,-1774.23,stop_loss,False
2026-05-25,sz.000519,中兵红箭,箱体突破,R-003+X-012,2026-05-26,2026-06-08,9,18.79,18.51,1700,31974.94,-1.69,-539.41,ma20_break,False
2026-05-25,sz.301057,汇隆新材,箱体突破,R-003+X-012,2026-05-26,2026-05-27,1,35.52,30.51,900,31999.97,-14.28,-4568.43,stop_loss,False
2026-05-25,sz.300047,天源迪科,MA5反包,R-001+X-009/X-010,2026-05-26,2026-05-27,1,12.6,11.9,2600,32792.76,-5.74,-1883.7,stop_loss,False
2026-05-26,sz.301305,朗坤科技,箱体突破,R-003+X-012,2026-05-27,2026-06-08,8,29.29,27.51,1100,32251.22,-6.26,-2020.48,stop_loss,False
2026-05-26,sz.003013,地铁设计,MA5反包,R-001+X-009/X-010,2026-05-27,2026-05-28,1,14.88,14.51,2200,32768.74,-2.68,-878.66,stop_loss,False
2026-05-26,sz.000700,模塑科技,MA5反包,R-001+X-009/X-010,2026-05-27,2026-05-28,1,15.6,14.6,2100,32792.76,-6.6,-2163.42,stop_loss,False
2026-05-27,sz.002405,四维图新,Dragon支线,R-003+X-003,2026-05-28,2026-05-29,1,9.3,8.73,3500,32582.55,-6.32,-2058.1,stop_loss,False
2026-05-27,sz.300496,中科创达,Dragon支线,R-003+X-003,2026-05-28,2026-05-29,1,73.07,63.18,400,29257.23,-13.71,-4010.5,stop_loss,False
2026-05-27,sh.688786,悦安新材,MA5反包,R-001+X-009/X-010,2026-05-28,2026-06-01,2,38.5,36.79,800,30830.8,-4.63,-1428.23,stop_loss,False
2026-05-28,sz.300657,弘信电子,Dragon·可买,R-003+X-003,2026-05-29,2026-06-01,1,44.41,40.05,700,31118.09,-10.0,-3111.12,stop_loss,False
2026-05-28,sz.301099,雅创电子,MA5反包,R-001+X-009/X-010,2026-05-29,2026-06-01,1,71.3,64.74,400,28548.52,-9.38,-2678.42,stop_loss,False
2026-05-29,sh.601066,中信建投,箱体突破,R-003+X-012,2026-06-01,2026-06-12,9,24.05,25.46,1300,31296.26,5.65,1768.64,end_of_data,True
2026-05-29,sz.002568,百润股份,箱体突破,R-003+X-012,2026-06-01,2026-06-04,3,19.73,18.3,1600,31599.57,-7.43,-2348.85,stop_loss,False
2026-06-01,sh.600865,百大集团,箱体突破,R-003+X-012,2026-06-02,2026-06-03,1,10.94,10.45,3000,32852.82,-4.67,-1534.17,ma20_break,False
2026-06-01,sh.600596,新安股份,MA5反包,R-001+X-009/X-010,2026-06-02,2026-06-08,4,13.26,13.58,2500,33183.15,2.21,732.9,ma5_break,True
2026-06-01,sh.600546,山煤国际,箱体突破,R-003+X-012,2026-06-02,2026-06-05,3,14.9,14.11,2200,32812.78,-5.49,-1801.82,stop_loss,False
2026-06-02,sz.301366,一博科技,MA5反包,R-001+X-009/X-010,2026-06-03,2026-06-04,1,54.16,50.3,600,32528.5,-7.31,-2378.68,stop_loss,False
