signal_date,entry_date,picks,n_picks,avg_pnl_pct,sum_pnl_amount,empty_reason
2026-05-15,2026-05-18,sz.002747 埃斯顿 | sz.002156 通富微电 | sz.300995 奇德新材,3,3.26,3183.05,
2026-05-18,2026-05-19,sz.002196 方正电机 | sh.688350 富淼科技 | sz.300042 朗科科技,3,-5.86,-5470.18,
2026-05-19,2026-05-20,sh.600626 申达股份 | sh.600753 *ST海钦 | sz.002887 绿茵生态,3,-3.99,-3977.11,
2026-05-20,2026-05-21,sz.002077 大港股份 | sh.688728 格科微 | sh.603038 华立股份,3,-6.69,-6481.22,
2026-05-21,2026-05-22,sh.601777 千里科技 | sz.002050 三花智控 | sh.601177 杭齿前进,3,-3.04,-2880.92,
2026-05-22,2026-05-25,sz.300199 翰宇药业 | sh.603223 恒通股份,2,-3.81,-2501.2,
2026-05-25,2026-05-26,sz.000519 中兵红箭 | sz.301057 汇隆新材 | sz.300047 天源迪科,3,-7.24,-6991.54,
2026-05-26,2026-05-27,sz.301305 朗坤科技 | sz.003013 地铁设计 | sz.000700 模塑科技,3,-5.18,-5062.56,
2026-05-27,2026-05-28,sz.002405 四维图新 | sz.300496 中科创达 | sh.688786 悦安新材,3,-8.22,-7496.83,
2026-05-28,2026-05-29,sz.300657 弘信电子 | sz.301099 雅创电子,2,-9.69,-5789.54,
2026-05-29,2026-06-01,sh.601066 中信建投 | sz.002568 百润股份,2,-0.89,-580.21,
2026-06-01,2026-06-02,sh.600865 百大集团 | sh.600596 新安股份 | sh.600546 山煤国际,3,-2.65,-2603.09,
2026-06-02,2026-06-03,sz.301366 一博科技 | sh.600362 江西铜业 | sz.000878 云南铜业,3,-5.98,-5633.94,
2026-06-03,2026-06-04,sz.301021 英诺激光 | sh.600522 中天科技 | sz.300040 九洲集团,3,-0.9,-1041.51,
2026-06-04,2026-06-05,sh.603588 高能环境 | sz.300037 新宙邦 | sz.002281 光迅科技,3,-6.33,-5492.78,
2026-06-05,2026-06-08,sh.605566 福莱蒽特 | sh.600906 财达证券 | sh.603439 三力制药,3,1.86,1795.19,
2026-06-08,2026-06-09,sh.688519 南亚新材 | sh.688456 有研粉材 | sz.300283 温州宏丰,3,15.03,12536.28,
2026-06-09,2026-06-10,sh.600396 华电辽能 | sz.002125 湘潭电化 | sh.603728 鸣志电器,3,-4.35,-4000.46,
2026-06-10,2026-06-11,sh.600160 巨化股份,1,4.07,1325.57,
2026-06-11,2026-06-12,（无）,0,0.0,0.0,无 Dragon 主线（T-004）→ 不出 Top 3
