signal_date,trade_date,positions,equity,actions,empty_reason
2026-05-15,2026-05-18,3,100345.0,买sz.002747(85)；买sz.002156(76)；买sz.300995(72),
2026-05-18,2026-05-19,3,101241.0,换出sz.300995(72)；换入sh.688350(85)；换出sz.002156(76)；换入sz.300042(85),
2026-05-19,2026-05-20,3,101685.0,持有不变,
2026-05-20,2026-05-21,3,99505.0,卖sh.688350(ma5_break)；卖sz.300042(ma5_break)；买sz.300225(85)；买sz.001313(85),
2026-05-21,2026-05-22,3,101046.0,卖sz.001313(ma5_break)；买sh.601777(85),
2026-05-22,2026-05-25,3,103609.0,持有不变,
2026-05-25,2026-05-26,3,105133.0,卖sh.601777(ma5_break)；买sz.000519(79),
2026-05-26,2026-05-27,3,98936.0,卖sz.002747(ma5_break)；买sz.003013(71),
2026-05-27,2026-05-28,3,105108.0,卖sz.003013(ma5_break)；买sh.688786(71),
2026-05-28,2026-05-29,3,102372.0,换出sh.688786(71)；换入sz.301099(85)；换出sz.000519(79)；换入sz.301526(85),
2026-05-29,2026-06-01,2,97586.0,卖sz.300225(ma5_break)；卖sz.301099(stop_loss)；卖sz.301526(stop_loss)；买sh.601066(80)；买sh.603099(71),
2026-06-01,2026-06-02,3,98515.0,买sh.600596(85)；换出sh.603099(71)；换入sh.600865(79),
2026-06-02,2026-06-03,3,100051.0,卖sh.600865(ma20_break)；买sz.301366(85),
2026-06-03,2026-06-04,3,97727.0,卖sz.301366(stop_loss)；买sz.301021(85),
2026-06-04,2026-06-05,3,95135.0,卖sh.601066(ma5_break)；卖sz.301021(ma5_break)；买sz.300037(82)；买sh.603588(79),
2026-06-05,2026-06-08,3,92661.0,卖sh.600596(ma5_break)；卖sz.300037(stop_loss)；卖sh.603588(stop_loss)；买sh.605566(83)；买sh.600906(80)；买sh.603439(72),
2026-06-08,2026-06-09,3,93764.0,卖sh.600906(ma5_break)；卖sh.603439(ma5_break)；买sh.688519(85)；买sh.688456(84),
2026-06-09,2026-06-10,3,95955.0,换出sh.605566(83)；换入sh.600396(85),
2026-06-10,2026-06-11,3,101941.0,卖sh.600396(stop_loss)；买sh.600160(75),
2026-06-11,2026-06-12,3,100598.0,无信号 无 Dragon 主线（T-004）→ 不出 Top 3,无 Dragon 主线（T-004）→ 不出 Top 3
