action,symbol,name,primary_signal,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_amount,exit_reason,entry_score,win
buy,sz.002156,通富微电,Dragon支线,2026-05-18,,57.6,,500,0.0,-28828.8,,76.3,False
sell,sz.002156,通富微电,Dragon支线,2026-05-18,2026-05-28,57.6,69.3,500,20.07,5786.55,trail_ma5,76.3,True
buy,sz.002405,四维图新,Dragon支线,2026-05-28,,9.3,,3700,0.0,-34444.41,,70.3,False
sell,sz.002405,四维图新,Dragon支线,2026-05-28,2026-05-29,9.3,8.73,3700,-6.32,-2175.71,stop_loss,70.3,False
buy,sz.300657,弘信电子,Dragon·可买,2026-05-29,,44.41,,700,0.0,-31118.09,,84.2,False
buy,sz.300444,双杰电气,科技价值,2026-05-29,,15.16,,2100,0.0,-31867.84,,81.9,False
sell,sz.300657,弘信电子,Dragon·可买,2026-05-29,2026-06-01,44.41,40.05,700,-10.0,-3111.12,stop_loss,84.2,False
sell,sz.300444,双杰电气,科技价值,2026-05-29,2026-06-01,15.16,14.85,2100,-2.24,-714.02,ma20_break,81.9,False
buy,sh.600522,中天科技,Dragon·可买,2026-06-04,,43.81,,700,0.0,-30697.67,,78.4,False
sell,sh.600522,中天科技,Dragon·可买,2026-06-04,2026-06-11,43.81,49.27,700,12.24,3756.84,trail_ma5,78.4,True
